ftu,species_tag,age_tag,sex_tag,bmi_tag,age_yearold_tag,total_donor_record_count
alveolus of lung,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",7
alveolus of lung,Homo sapiens,postnatal,male,,"[35 years old, 40 years old)",1
alveolus of lung,Homo sapiens,postnatal,male,,"[40 years old, 45 years old)",1
alveolus of lung,Homo sapiens,postnatal,others,Normal weight,"[25 years old, 30 years old)",1
alveolus of lung,Homo sapiens,postnatal,others,Overweight,"[65 years old, 70 years old)",1
alveolus of lung,Homo sapiens,postnatal,others,Overweight,"[75 years old, 80 years old)",1
alveolus of lung,Homo sapiens,postnatal,others,Overweight,"[85 years old, 90 years old)",1
alveolus of lung,Homo sapiens,postnatal,others,Unknown,<1 year old,168
alveolus of lung,Homo sapiens,postnatal,others,Unknown,>=100 years old,3
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[1 year old, 5 years old)",9
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[10 years old, 15 years old)",24
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[15 years old, 20 years old)",11
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[20 years old, 25 years old)",6
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[25 years old, 30 years old)",7
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[30 years old, 35 years old)",4
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[35 years old, 40 years old)",3
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[40 years old, 45 years old)",4
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[45 years old, 50 years old)",4
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[5 years old, 10 years old)",13
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[50 years old, 55 years old)",4
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[55 years old, 60 years old)",5
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[60 years old, 65 years old)",15
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[65 years old, 70 years old)",16
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[70 years old, 75 years old)",7
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[75 years old, 80 years old)",1
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[80 years old, 85 years old)",1
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[85 years old, 90 years old)",1
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[95 years old, 100 years old)",1
alveolus of lung,Homo sapiens,postnatal,others,Unknown,others,21
alveolus of lung,Homo sapiens,postnatal,others,,"[5 years old, 10 years old)",2
alveolus of lung,Homo sapiens,postnatal,others,,"[70 years old, 75 years old)",1
alveolus of lung,Homo sapiens,prenatal,female,Unknown,,4
alveolus of lung,Homo sapiens,prenatal,male,Unknown,,4
alveolus of lung,Homo sapiens,prenatal,others,Unknown,,157
alveolus of lung,Homo sapiens,unknown,female,Unknown,,199
alveolus of lung,Homo sapiens,unknown,female,,,2
alveolus of lung,Homo sapiens,unknown,male,Overweight,,1
alveolus of lung,Homo sapiens,unknown,male,Unknown,,136
alveolus of lung,Homo sapiens,unknown,male,,,2
alveolus of lung,Homo sapiens,unknown,others,Normal weight,,4
alveolus of lung,Homo sapiens,unknown,others,Obesity,,10
alveolus of lung,Homo sapiens,unknown,others,Overweight,,2
alveolus of lung,Homo sapiens,unknown,others,Underweight,,1
alveolus of lung,Homo sapiens,unknown,others,Unknown,,4920
alveolus of lung,Homo sapiens,unknown,others,,,54
alveolus of lung,Homo sapiens,,female,Unknown,,2
alveolus of lung,Homo sapiens,,male,Unknown,,2
alveolus of lung,Homo sapiens,,others,Unknown,,39
alveolus of lung,Homo sapiens,,others,,,2
alveolus of lung,Homo sapiens,,,,,8
bronchus submucosal gland,Homo sapiens,others,female,Normal weight,,1
bronchus submucosal gland,Homo sapiens,others,female,Unknown,,2
bronchus submucosal gland,Homo sapiens,others,female,,,4
bronchus submucosal gland,Homo sapiens,others,male,Overweight,,1
bronchus submucosal gland,Homo sapiens,others,male,Unknown,,7
bronchus submucosal gland,Homo sapiens,others,male,,,5
bronchus submucosal gland,Homo sapiens,others,others,Unknown,,94
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,<1 year old,4
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[1 year old, 5 years old)",1
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[10 years old, 15 years old)",1
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[15 years old, 20 years old)",2
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[20 years old, 25 years old)",6
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",10
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",5
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[35 years old, 40 years old)",1
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[40 years old, 45 years old)",5
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[45 years old, 50 years old)",8
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[5 years old, 10 years old)",1
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[50 years old, 55 years old)",15
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[55 years old, 60 years old)",2
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[60 years old, 65 years old)",11
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[65 years old, 70 years old)",8
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[70 years old, 75 years old)",11
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[75 years old, 80 years old)",9
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[80 years old, 85 years old)",1
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[85 years old, 90 years old)",1
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[90 years old, 95 years old)",3
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[95 years old, 100 years old)",1
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,<1 year old,3
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[1 year old, 5 years old)",1
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[10 years old, 15 years old)",1
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[15 years old, 20 years old)",3
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[20 years old, 25 years old)",11
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[25 years old, 30 years old)",6
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[30 years old, 35 years old)",7
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[35 years old, 40 years old)",5
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[40 years old, 45 years old)",11
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[45 years old, 50 years old)",8
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[5 years old, 10 years old)",4
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[50 years old, 55 years old)",16
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[55 years old, 60 years old)",9
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[60 years old, 65 years old)",14
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[65 years old, 70 years old)",15
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[70 years old, 75 years old)",5
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[75 years old, 80 years old)",5
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[80 years old, 85 years old)",7
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[85 years old, 90 years old)",1
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[90 years old, 95 years old)",1
bronchus submucosal gland,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",2
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,<1 year old,42
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[1 year old, 5 years old)",8
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[10 years old, 15 years old)",5
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[15 years old, 20 years old)",5
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[20 years old, 25 years old)",3
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[25 years old, 30 years old)",2
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[40 years old, 45 years old)",5
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[45 years old, 50 years old)",4
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[5 years old, 10 years old)",7
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[50 years old, 55 years old)",3
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[55 years old, 60 years old)",4
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[60 years old, 65 years old)",6
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[65 years old, 70 years old)",1
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[70 years old, 75 years old)",2
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[80 years old, 85 years old)",1
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,others,6
bronchus submucosal gland,Homo sapiens,prenatal,male,Unknown,,1
bronchus submucosal gland,Homo sapiens,prenatal,others,Unknown,,79
bronchus submucosal gland,Homo sapiens,unknown,female,Unknown,,40
bronchus submucosal gland,Homo sapiens,unknown,male,Unknown,,28
bronchus submucosal gland,Homo sapiens,unknown,others,Normal weight,,1
bronchus submucosal gland,Homo sapiens,unknown,others,Obesity,,1
bronchus submucosal gland,Homo sapiens,unknown,others,Unknown,,1519
bronchus submucosal gland,Homo sapiens,unknown,others,,,14
bronchus submucosal gland,Homo sapiens,,female,Unknown,,3
bronchus submucosal gland,Homo sapiens,,male,Unknown,,1
bronchus submucosal gland,Homo sapiens,,others,Unknown,,18
bronchus submucosal gland,Homo sapiens,,,,,2
cortical collecting duct,Homo sapiens,others,female,Unknown,,12
cortical collecting duct,Homo sapiens,others,female,,,13
cortical collecting duct,Homo sapiens,others,male,Unknown,,5
cortical collecting duct,Homo sapiens,others,male,,,18
cortical collecting duct,Homo sapiens,others,others,Unknown,,189
cortical collecting duct,Homo sapiens,postnatal,female,Normal weight,"[30 years old, 35 years old)",1
cortical collecting duct,Homo sapiens,postnatal,female,Obesity,"[65 years old, 70 years old)",1
cortical collecting duct,Homo sapiens,postnatal,female,Overweight,"[30 years old, 35 years old)",1
cortical collecting duct,Homo sapiens,postnatal,female,Overweight,"[35 years old, 40 years old)",1
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,<1 year old,11
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[1 year old, 5 years old)",6
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[10 years old, 15 years old)",5
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[15 years old, 20 years old)",5
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[20 years old, 25 years old)",5
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",34
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",21
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[35 years old, 40 years old)",7
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[40 years old, 45 years old)",7
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[45 years old, 50 years old)",11
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[5 years old, 10 years old)",7
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[50 years old, 55 years old)",5
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[55 years old, 60 years old)",8
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[60 years old, 65 years old)",5
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[65 years old, 70 years old)",11
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[70 years old, 75 years old)",7
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[75 years old, 80 years old)",3
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[80 years old, 85 years old)",3
cortical collecting duct,Homo sapiens,postnatal,female,,"[20 years old, 25 years old)",1
cortical collecting duct,Homo sapiens,postnatal,female,,"[25 years old, 30 years old)",1
cortical collecting duct,Homo sapiens,postnatal,male,Normal weight,"[30 years old, 35 years old)",2
cortical collecting duct,Homo sapiens,postnatal,male,Obesity,"[50 years old, 55 years old)",1
cortical collecting duct,Homo sapiens,postnatal,male,Overweight,"[75 years old, 80 years old)",1
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,<1 year old,27
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[1 year old, 5 years old)",2
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[10 years old, 15 years old)",7
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[15 years old, 20 years old)",6
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[20 years old, 25 years old)",8
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[25 years old, 30 years old)",9
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[30 years old, 35 years old)",5
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[35 years old, 40 years old)",5
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[40 years old, 45 years old)",9
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[45 years old, 50 years old)",8
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[5 years old, 10 years old)",4
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[50 years old, 55 years old)",9
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[55 years old, 60 years old)",8
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[60 years old, 65 years old)",9
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[65 years old, 70 years old)",12
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[70 years old, 75 years old)",8
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[75 years old, 80 years old)",7
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[80 years old, 85 years old)",1
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[90 years old, 95 years old)",1
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,others,1
cortical collecting duct,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",6
cortical collecting duct,Homo sapiens,postnatal,others,Obesity,"[55 years old, 60 years old)",1
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,<1 year old,139
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[1 year old, 5 years old)",10
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[10 years old, 15 years old)",7
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[15 years old, 20 years old)",6
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[20 years old, 25 years old)",7
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[25 years old, 30 years old)",5
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[30 years old, 35 years old)",5
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[35 years old, 40 years old)",7
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[40 years old, 45 years old)",6
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[45 years old, 50 years old)",2
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[5 years old, 10 years old)",4
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[50 years old, 55 years old)",4
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[55 years old, 60 years old)",4
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[60 years old, 65 years old)",6
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[65 years old, 70 years old)",1
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[70 years old, 75 years old)",4
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[75 years old, 80 years old)",1
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[85 years old, 90 years old)",1
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,others,20
cortical collecting duct,Homo sapiens,prenatal,female,Unknown,,10
cortical collecting duct,Homo sapiens,prenatal,male,Unknown,,3
cortical collecting duct,Homo sapiens,prenatal,others,Unknown,,221
cortical collecting duct,Homo sapiens,unknown,female,Unknown,,120
cortical collecting duct,Homo sapiens,unknown,female,,,1
cortical collecting duct,Homo sapiens,unknown,male,Unknown,,118
cortical collecting duct,Homo sapiens,unknown,male,,,1
cortical collecting duct,Homo sapiens,unknown,others,Obesity,,2
cortical collecting duct,Homo sapiens,unknown,others,Unknown,,3582
cortical collecting duct,Homo sapiens,unknown,others,,,45
cortical collecting duct,Homo sapiens,,female,Unknown,,3
cortical collecting duct,Homo sapiens,,male,Unknown,,4
cortical collecting duct,Homo sapiens,,others,Unknown,,23
crypt of Lieberkuhn of large intestine,Homo sapiens,others,female,Normal weight,,2
crypt of Lieberkuhn of large intestine,Homo sapiens,others,female,Obesity,,2
crypt of Lieberkuhn of large intestine,Homo sapiens,others,female,Overweight,,1
crypt of Lieberkuhn of large intestine,Homo sapiens,others,female,Unknown,,172
crypt of Lieberkuhn of large intestine,Homo sapiens,others,female,,,58
crypt of Lieberkuhn of large intestine,Homo sapiens,others,male,Normal weight,,1
crypt of Lieberkuhn of large intestine,Homo sapiens,others,male,Overweight,,4
crypt of Lieberkuhn of large intestine,Homo sapiens,others,male,Unknown,,83
crypt of Lieberkuhn of large intestine,Homo sapiens,others,male,,,80
crypt of Lieberkuhn of large intestine,Homo sapiens,others,others,Normal weight,,2
crypt of Lieberkuhn of large intestine,Homo sapiens,others,others,Obesity,,8
crypt of Lieberkuhn of large intestine,Homo sapiens,others,others,Overweight,,1
crypt of Lieberkuhn of large intestine,Homo sapiens,others,others,Underweight,,1
crypt of Lieberkuhn of large intestine,Homo sapiens,others,others,Unknown,,1637
crypt of Lieberkuhn of large intestine,Homo sapiens,others,others,,,10
crypt of Lieberkuhn of large intestine,Homo sapiens,others,,,,1
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Normal weight,"[20 years old, 25 years old)",2
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Normal weight,"[25 years old, 30 years old)",1
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Normal weight,"[30 years old, 35 years old)",22
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Normal weight,"[40 years old, 45 years old)",4
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Normal weight,"[50 years old, 55 years old)",1
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Obesity,"[40 years old, 45 years old)",3
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Overweight,"[30 years old, 35 years old)",1
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Overweight,"[40 years old, 45 years old)",2
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Overweight,"[55 years old, 60 years old)",1
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Overweight,"[60 years old, 65 years old)",1
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Overweight,"[65 years old, 70 years old)",1
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Underweight,"[40 years old, 45 years old)",1
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Underweight,"[65 years old, 70 years old)",1
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,<1 year old,36
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,>=100 years old,1
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[1 year old, 5 years old)",11
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[10 years old, 15 years old)",28
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[15 years old, 20 years old)",27
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[20 years old, 25 years old)",40
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",216
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",111
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[35 years old, 40 years old)",40
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[40 years old, 45 years old)",79
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[45 years old, 50 years old)",79
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[5 years old, 10 years old)",20
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[50 years old, 55 years old)",56
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[55 years old, 60 years old)",44
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[60 years old, 65 years old)",53
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[65 years old, 70 years old)",90
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[70 years old, 75 years old)",47
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[75 years old, 80 years old)",31
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[80 years old, 85 years old)",16
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[85 years old, 90 years old)",12
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[90 years old, 95 years old)",3
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,others,3
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,,"[20 years old, 25 years old)",7
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,,"[25 years old, 30 years old)",4
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,,"[30 years old, 35 years old)",5
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,,"[40 years old, 45 years old)",3
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,,"[45 years old, 50 years old)",1
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Normal weight,"[25 years old, 30 years old)",1
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Normal weight,"[30 years old, 35 years old)",20
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Normal weight,"[50 years old, 55 years old)",1
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Obesity,"[40 years old, 45 years old)",2
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Obesity,"[50 years old, 55 years old)",1
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Obesity,"[60 years old, 65 years old)",1
