ftu,species_tag,age_tag,sex_tag,bmi_tag,age_yearold_tag,donor_record_count
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Unknown,"[65 years old, 70 years old)",113
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",111
thick ascending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,<1 year old,111
white pulp of spleen,Homo sapiens,prenatal,others,Unknown,,110
pancreatic acinus,Homo sapiens,unknown,others,,,109
papillary layer of dermis,Homo sapiens,postnatal,others,Unknown,others,107
epidermal ridge of digit,Homo sapiens,others,female,Unknown,,105
papillary layer of dermis,Homo sapiens,postnatal,male,Unknown,"[20 years old, 25 years old)",103
inner medullary collecting duct,Homo sapiens,unknown,male,Unknown,,103
white pulp of spleen,Homo sapiens,,others,Unknown,,103
white pulp of spleen,Homo sapiens,unknown,others,,,102
inner medullary collecting duct,Homo sapiens,unknown,female,Unknown,,102
nephron,Homo sapiens,postnatal,others,Unknown,others,99
descending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[25 years old, 30 years old)",99
nephron,Homo sapiens,postnatal,male,Unknown,"[65 years old, 70 years old)",98
nephron,Homo sapiens,postnatal,female,Unknown,"[40 years old, 45 years old)",98
papillary layer of dermis,Homo sapiens,postnatal,female,Unknown,"[75 years old, 80 years old)",98
papillary layer of dermis,Homo sapiens,postnatal,female,Unknown,"[15 years old, 20 years old)",98
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Unknown,"[60 years old, 65 years old)",96
nephron,Homo sapiens,postnatal,male,Unknown,"[50 years old, 55 years old)",96
descending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[40 years old, 45 years old)",96
nephron,Homo sapiens,postnatal,male,Unknown,"[40 years old, 45 years old)",96
outer medullary collecting duct,Homo sapiens,prenatal,others,Unknown,,95
nephron,Homo sapiens,postnatal,male,Unknown,"[60 years old, 65 years old)",95
descending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[20 years old, 25 years old)",95
descending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[70 years old, 75 years old)",95
prostate glandular acinus,Homo sapiens,others,male,Unknown,,94
descending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[40 years old, 45 years old)",94
islet of Langerhans,Homo sapiens,,others,Unknown,,94
descending limb of loop of Henle,Homo sapiens,others,female,Unknown,,94
nephron,Homo sapiens,postnatal,male,Unknown,"[30 years old, 35 years old)",94
bronchus submucosal gland,Homo sapiens,others,others,Unknown,,93
descending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[65 years old, 70 years old)",92
descending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[45 years old, 50 years old)",92
islet of Langerhans,Homo sapiens,unknown,others,,,92
nephron,Homo sapiens,postnatal,others,Unknown,"[10 years old, 15 years old)",91
descending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[55 years old, 60 years old)",91
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[65 years old, 70 years old)",90
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[5 years old, 10 years old)",90
papillary layer of dermis,Homo sapiens,postnatal,others,Unknown,"[60 years old, 65 years old)",90
descending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",89
nephron,Homo sapiens,postnatal,others,Unknown,"[1 year old, 5 years old)",89
descending limb of loop of Henle,Homo sapiens,others,male,Unknown,,86
papillary layer of dermis,Homo sapiens,postnatal,male,Unknown,"[75 years old, 80 years old)",85
crypt of Lieberkuhn of large intestine,Homo sapiens,unknown,others,Obesity,,85
descending limb of loop of Henle,Homo sapiens,,male,Unknown,,85
nephron,Homo sapiens,postnatal,male,Unknown,"[25 years old, 30 years old)",85
intestinal villus,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",85
papillary layer of dermis,Homo sapiens,postnatal,male,Unknown,"[15 years old, 20 years old)",84
papillary layer of dermis,Homo sapiens,postnatal,others,Unknown,"[5 years old, 10 years old)",84
crypt of Lieberkuhn of large intestine,Homo sapiens,others,male,Unknown,,83
pancreatic acinus,Homo sapiens,postnatal,male,Unknown,"[65 years old, 70 years old)",83
nephron,Homo sapiens,postnatal,male,Unknown,"[45 years old, 50 years old)",82
pancreatic acinus,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",82
renal corpuscle,Homo sapiens,prenatal,others,Unknown,,82
papillary layer of dermis,Homo sapiens,postnatal,male,Unknown,"[35 years old, 40 years old)",82
descending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[20 years old, 25 years old)",82
liver lobule,Homo sapiens,unknown,others,,,81
intestinal villus,Homo sapiens,others,female,Unknown,,81
papillary layer of dermis,Homo sapiens,postnatal,others,Unknown,"[20 years old, 25 years old)",81
crypt of Lieberkuhn of large intestine,Homo sapiens,others,male,,,80
bronchus submucosal gland,Homo sapiens,prenatal,others,Unknown,,79
nephron,Homo sapiens,postnatal,others,Unknown,"[15 years old, 20 years old)",79
nephron,Homo sapiens,others,male,,,79
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[45 years old, 50 years old)",79
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[40 years old, 45 years old)",79
nephron,Homo sapiens,postnatal,male,Unknown,<1 year old,78
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Unknown,"[70 years old, 75 years old)",77
descending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[30 years old, 35 years old)",77
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Unknown,"[40 years old, 45 years old)",76
prostate glandular acinus,Homo sapiens,unknown,others,,,76
epidermal ridge of digit,Homo sapiens,others,female,,,76
liver lobule,Homo sapiens,,others,Unknown,,76
epidermal ridge of digit,Homo sapiens,others,male,Unknown,,76
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[25 years old, 30 years old)",74
papillary layer of dermis,Homo sapiens,postnatal,female,Unknown,"[10 years old, 15 years old)",74
nephron,Homo sapiens,postnatal,others,Unknown,"[5 years old, 10 years old)",74
nephron,Homo sapiens,postnatal,male,Unknown,"[55 years old, 60 years old)",73
pancreatic acinus,Homo sapiens,,others,Unknown,,73
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,others,Unknown,others,72
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Unknown,"[30 years old, 35 years old)",71
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[1 year old, 5 years old)",71
thick ascending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",71
nephron,Homo sapiens,postnatal,male,Unknown,"[20 years old, 25 years old)",70
papillary layer of dermis,Homo sapiens,postnatal,others,Unknown,"[65 years old, 70 years old)",70
papillary layer of dermis,Homo sapiens,postnatal,male,Unknown,<1 year old,70
nephron,Homo sapiens,postnatal,female,Unknown,"[45 years old, 50 years old)",70
nephron,Homo sapiens,postnatal,male,Unknown,"[15 years old, 20 years old)",69
papillary layer of dermis,Homo sapiens,postnatal,male,Unknown,"[10 years old, 15 years old)",68
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Unknown,"[25 years old, 30 years old)",68
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,others,Unknown,"[10 years old, 15 years old)",68
prostate glandular acinus,Homo sapiens,postnatal,others,Unknown,<1 year old,68
papillary layer of dermis,Homo sapiens,postnatal,male,Unknown,"[80 years old, 85 years old)",68
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[20 years old, 25 years old)",68
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[5 years old, 10 years old)",67
descending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[60 years old, 65 years old)",67
white pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[5 years old, 10 years old)",67
nephron,Homo sapiens,postnatal,female,Unknown,"[20 years old, 25 years old)",67
papillary layer of dermis,Homo sapiens,,female,Unknown,,67
loop of Henle ascending limb thin segment,Homo sapiens,others,others,Unknown,,66
descending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[45 years old, 50 years old)",66
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[10 years old, 15 years old)",65
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Unknown,"[55 years old, 60 years old)",65
thick ascending limb of loop of Henle,Homo sapiens,unknown,others,,,64
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[1 year old, 5 years old)",64
papillary layer of dermis,Homo sapiens,postnatal,others,Unknown,"[30 years old, 35 years old)",64
nephron,Homo sapiens,postnatal,female,Unknown,"[50 years old, 55 years old)",64
papillary layer of dermis,Homo sapiens,postnatal,male,Unknown,"[5 years old, 10 years old)",63
descending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,<1 year old,63
papillary layer of dermis,Homo sapiens,postnatal,others,Unknown,"[50 years old, 55 years old)",62
papillary layer of dermis,Homo sapiens,postnatal,others,Unknown,"[15 years old, 20 years old)",62
nephron,Homo sapiens,postnatal,female,Unknown,"[65 years old, 70 years old)",62
red pulp of spleen,Homo sapiens,others,male,,,62
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Unknown,"[45 years old, 50 years old)",62
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Unknown,"[50 years old, 55 years old)",62
papillary layer of dermis,Homo sapiens,postnatal,female,Unknown,"[5 years old, 10 years old)",62
descending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[50 years old, 55 years old)",62
red pulp of spleen,Homo sapiens,postnatal,male,Unknown,"[25 years old, 30 years old)",62
nephron,Homo sapiens,postnatal,others,Unknown,"[60 years old, 65 years old)",61
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[65 years old, 70 years old)",61
papillary layer of dermis,Homo sapiens,postnatal,others,Unknown,"[10 years old, 15 years old)",61
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,others,Unknown,"[1 year old, 5 years old)",60
red pulp of spleen,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",59
nephron,Homo sapiens,postnatal,male,Unknown,"[70 years old, 75 years old)",59
nephron,Homo sapiens,postnatal,male,Unknown,"[10 years old, 15 years old)",59
islet of Langerhans,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",59
papillary layer of dermis,Homo sapiens,postnatal,others,Unknown,"[40 years old, 45 years old)",59
intestinal villus,Homo sapiens,postnatal,male,Unknown,<1 year old,58
crypt of Lieberkuhn of large intestine,Homo sapiens,others,female,,,58
papillary layer of dermis,Homo sapiens,postnatal,others,Unknown,"[1 year old, 5 years old)",58
descending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[15 years old, 20 years old)",58
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,others,58
liver lobule,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",57
red pulp of spleen,Homo sapiens,postnatal,others,Unknown,others,57
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,<1 year old,57
descending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[75 years old, 80 years old)",57
liver lobule,Homo sapiens,others,female,Unknown,,57
red pulp of spleen,Homo sapiens,others,female,Unknown,,57
nephron,Homo sapiens,postnatal,female,Unknown,<1 year old,56
white pulp of spleen,Homo sapiens,postnatal,male,Unknown,"[25 years old, 30 years old)",56
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[50 years old, 55 years old)",56
red pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[5 years old, 10 years old)",56
prostate glandular acinus,Homo sapiens,prenatal,others,Unknown,,56
papillary layer of dermis,Homo sapiens,postnatal,others,Unknown,"[45 years old, 50 years old)",55
descending limb of loop of Henle,Homo sapiens,others,male,,,55
loop of Henle ascending limb thin segment,Homo sapiens,unknown,male,Unknown,,55
papillary layer of dermis,Homo sapiens,postnatal,others,Unknown,"[25 years old, 30 years old)",55
outer medullary collecting duct,Homo sapiens,others,others,Unknown,,55
descending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[10 years old, 15 years old)",54
white pulp of spleen,Homo sapiens,postnatal,male,Unknown,"[5 years old, 10 years old)",54
alveolus of lung,Homo sapiens,unknown,others,,,54
nephron,Homo sapiens,postnatal,female,Unknown,"[55 years old, 60 years old)",54
nephron,Homo sapiens,others,female,,,54
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,others,53
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[60 years old, 65 years old)",53
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[20 years old, 25 years old)",53
intestinal villus,Homo sapiens,prenatal,female,Unknown,,53
intestinal villus,Homo sapiens,postnatal,others,Unknown,"[1 year old, 5 years old)",53
nephron,Homo sapiens,postnatal,others,Unknown,"[20 years old, 25 years old)",52
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[60 years old, 65 years old)",52
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,others,Unknown,"[5 years old, 10 years old)",52
descending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[55 years old, 60 years old)",52
pancreatic acinus,Homo sapiens,postnatal,male,Unknown,"[60 years old, 65 years old)",52
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[10 years old, 15 years old)",51
white pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[10 years old, 15 years old)",51
red pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[10 years old, 15 years old)",51
papillary layer of dermis,Homo sapiens,others,male,,,51
nephron,Homo sapiens,,male,Unknown,,51
nephron,Homo sapiens,postnatal,female,Unknown,"[35 years old, 40 years old)",51
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",51
intestinal villus,Homo sapiens,postnatal,female,Unknown,<1 year old,51
white pulp of spleen,Homo sapiens,postnatal,male,Unknown,"[40 years old, 45 years old)",50
red pulp of spleen,Homo sapiens,others,female,,,50
loop of Henle ascending limb thin segment,Homo sapiens,postnatal,others,Unknown,<1 year old,50
descending limb of loop of Henle,Homo sapiens,,female,Unknown,,50
nephron,Homo sapiens,postnatal,female,Unknown,"[60 years old, 65 years old)",49
prostate glandular acinus,Homo sapiens,,others,Unknown,,49
white pulp of spleen,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",49
papillary layer of dermis,Homo sapiens,,male,Unknown,,49
red pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[20 years old, 25 years old)",49
nephron,Homo sapiens,postnatal,male,Unknown,"[1 year old, 5 years old)",48
liver lobule,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",48
descending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[70 years old, 75 years old)",48
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Unknown,"[20 years old, 25 years old)",48
nephron,Homo sapiens,postnatal,others,Unknown,"[40 years old, 45 years old)",48
nephron,Homo sapiens,postnatal,others,Unknown,"[30 years old, 35 years old)",48
descending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[35 years old, 40 years old)",47
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[15 years old, 20 years old)",47
prostate glandular acinus,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",47
papillary layer of dermis,Homo sapiens,postnatal,female,Unknown,"[80 years old, 85 years old)",47
thick ascending limb of loop of Henle,Homo sapiens,,others,Unknown,,47
descending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[10 years old, 15 years old)",47
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[70 years old, 75 years old)",47
loop of Henle ascending limb thin segment,Homo sapiens,unknown,female,Unknown,,47
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[30 years old, 35 years old)",47
nephron,Homo sapiens,postnatal,female,Unknown,"[15 years old, 20 years old)",47
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[15 years old, 20 years old)",47
red pulp of spleen,Homo sapiens,postnatal,male,Unknown,"[40 years old, 45 years old)",46
nephron,Homo sapiens,postnatal,male,Unknown,"[75 years old, 80 years old)",46
pancreatic acinus,Homo sapiens,postnatal,male,Unknown,"[70 years old, 75 years old)",46
white pulp of spleen,Homo sapiens,postnatal,male,Unknown,"[65 years old, 70 years old)",46
papillary layer of dermis,Homo sapiens,postnatal,female,Unknown,<1 year old,46
descending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[75 years old, 80 years old)",46
white pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[15 years old, 20 years old)",46
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",46
nephron,Homo sapiens,postnatal,others,Unknown,"[50 years old, 55 years old)",45
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[30 years old, 35 years old)",45
red pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[15 years old, 20 years old)",45
nephron,Homo sapiens,postnatal,female,Unknown,"[70 years old, 75 years old)",45
epidermal ridge of digit,Homo sapiens,,female,Unknown,,45
nephron,Homo sapiens,postnatal,male,Unknown,"[35 years old, 40 years old)",45
cortical collecting duct,Homo sapiens,unknown,others,,,45
