ftu,pmcid,graphic,sex_tag,value,unit
intestinal villus,PMC11175615,elife-89004-fig5,male,500,um
intestinal villus,PMC11175615,elife-89004-fig5,male,100,um
intestinal villus,PMC11175615,elife-89004-fig5,female,500,um
intestinal villus,PMC11175615,elife-89004-fig5,female,100,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,male,200,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,male,100,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,male,100,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,male,50,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,male,50,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,male,200,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,female,200,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,female,100,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,female,100,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,female,50,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,female,50,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,female,200,um
cortical collecting duct,PMC11186370,ijbsv20p3061g009,female,20,um
cortical collecting duct,PMC11186370,ijbsv20p3061g009,female,100,um
thick ascending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,20,um
thick ascending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,100,um
descending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,20,um
descending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,100,um
nephron,PMC11186370,ijbsv20p3061g009,female,20,um
nephron,PMC11186370,ijbsv20p3061g009,female,100,um
cortical collecting duct,PMC11186370,ijbsv20p3061g009,male,20,um
cortical collecting duct,PMC11186370,ijbsv20p3061g009,male,100,um
thick ascending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,male,20,um
thick ascending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,male,100,um
descending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,male,20,um
descending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,male,100,um
nephron,PMC11186370,ijbsv20p3061g009,male,20,um
nephron,PMC11186370,ijbsv20p3061g009,male,100,um
cortical collecting duct,PMC11186370,ijbsv20p3061g009,female,20,um
cortical collecting duct,PMC11186370,ijbsv20p3061g009,female,100,um
thick ascending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,20,um
thick ascending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,100,um
descending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,20,um
descending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,100,um
nephron,PMC11186370,ijbsv20p3061g009,female,20,um
nephron,PMC11186370,ijbsv20p3061g009,female,100,um
cortical collecting duct,PMC11186370,ijbsv20p3061g009,female,20,um
cortical collecting duct,PMC11186370,ijbsv20p3061g009,female,100,um
thick ascending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,20,um
thick ascending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,100,um
descending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,20,um
descending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,100,um
nephron,PMC11186370,ijbsv20p3061g009,female,20,um
nephron,PMC11186370,ijbsv20p3061g009,female,100,um
intestinal villus,PMC6754153,pone.0222626.g012,female,1,um
nephron,PMC6754153,pone.0222626.g012,female,1,um
crypt of Lieberkuhn of large intestine,PMC6754153,pone.0222626.g012,female,1,um
intestinal villus,PMC6764959,41467_2019_12307_Fig7_HTML,female,500,um
intestinal villus,PMC6764959,41467_2019_12307_Fig7_HTML,female,250,um
intestinal villus,PMC6764959,41467_2019_12307_Fig7_HTML,female,250,um
papillary layer of dermis,PMC6764959,41467_2019_12307_Fig7_HTML,female,500,um
papillary layer of dermis,PMC6764959,41467_2019_12307_Fig7_HTML,female,250,um
papillary layer of dermis,PMC6764959,41467_2019_12307_Fig7_HTML,female,250,um
intestinal villus,PMC6754153,pone.0222626.g011,male,1,um
nephron,PMC6754153,pone.0222626.g011,male,1,um
crypt of Lieberkuhn of large intestine,PMC6754153,pone.0222626.g011,male,1,um
intestinal villus,PMC6754153,pone.0222626.g011,female,1,um
nephron,PMC6754153,pone.0222626.g011,female,1,um
crypt of Lieberkuhn of large intestine,PMC6754153,pone.0222626.g011,female,1,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig6_HTML,female,100,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig6_HTML,female,10,um
papillary layer of dermis,PMC4800091,BMRI2016-7432131.003,male,50,um
papillary layer of dermis,PMC4800091,BMRI2016-7432131.003,male,50,um
nephron,PMC4718593,pone.0146302.g003,male,50,um
crypt of Lieberkuhn of large intestine,PMC4738267,srep20320-f4,male,50,um
crypt of Lieberkuhn of large intestine,PMC4738267,srep20320-f4,female,50,um
papillary layer of dermis,PMC4800091,BMRI2016-7432131.005,female,50,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig3_HTML,female,50,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig3_HTML,female,100,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig3_HTML,female,10,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig1_HTML,female,100,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig1_HTML,female,10,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig1_HTML,female,50,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig2_HTML,female,100,um
papillary layer of dermis,PMC4808019,oncotarget-07-0580-g006,female,50,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,female,5,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,female,40,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,female,20,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,female,100,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,female,100,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,female,10,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,male,5,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,male,40,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,male,20,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,male,100,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,male,100,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,male,10,um
nephron,PMC4823598,PHY2-4-e12709-g001,female,50,um
red pulp of spleen,PMC4746228,11626_2015_9968_Fig5_HTML,female,200,um
red pulp of spleen,PMC4746228,11626_2015_9968_Fig5_HTML,female,100,um
nephron,PMC4754950,srep21776-f6,male,50,um
nephron,PMC4754950,srep21776-f6,male,50,um
nephron,PMC4754950,srep21776-f6,male,50,um
nephron,PMC4754950,srep21776-f6,male,50,um
islet of Langerhans,PMC4788435,pgen.1005894.g004,male,10,um
nephron,PMC4788435,pgen.1005894.g004,male,10,um
inner medullary collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
inner medullary collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
inner medullary collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
inner medullary collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
nephron,PMC4788435,pgen.1005894.g004,male,10,um
nephron,PMC4788435,pgen.1005894.g004,male,10,um
nephron,PMC4788435,pgen.1005894.g004,male,10,um
islet of Langerhans,PMC4788435,pgen.1005894.g004,male,10,um
islet of Langerhans,PMC4788435,pgen.1005894.g004,male,10,um
islet of Langerhans,PMC4788435,pgen.1005894.g004,male,10,um
cortical collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
cortical collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
cortical collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
cortical collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
islet of Langerhans,PMC4788435,pgen.1005894.g004,male,10,um
nephron,PMC4788435,pgen.1005894.g004,male,10,um
inner medullary collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
inner medullary collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
inner medullary collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
inner medullary collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
nephron,PMC4788435,pgen.1005894.g004,male,10,um
nephron,PMC4788435,pgen.1005894.g004,male,10,um
nephron,PMC4788435,pgen.1005894.g004,male,10,um
islet of Langerhans,PMC4788435,pgen.1005894.g004,male,10,um
islet of Langerhans,PMC4788435,pgen.1005894.g004,male,10,um
islet of Langerhans,PMC4788435,pgen.1005894.g004,male,10,um
cortical collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
cortical collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
cortical collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
cortical collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig7_HTML,female,50,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig7_HTML,female,100,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig7_HTML,female,10,um
nephron,PMC4833322,pone.0152812.g003,male,10,um
nephron,PMC4833322,pone.0152812.g003,male,10,um
nephron,PMC4833322,pone.0152812.g003,male,10,um
nephron,PMC4833322,pone.0152812.g003,male,10,um
nephron,PMC7351764,41598_2020_67588_Fig6_HTML,male,50,um
nephron,PMC7351764,41598_2020_67588_Fig6_HTML,male,50,um
nephron,PMC7351764,41598_2020_67588_Fig6_HTML,male,50,um
nephron,PMC7351764,41598_2020_67588_Fig6_HTML,male,50,um
intestinal villus,PMC7312397,41374_2020_411_Fig3_HTML,female,200,um
intestinal villus,PMC7312397,41374_2020_411_Fig3_HTML,female,100,um
papillary layer of dermis,PMC7312397,41374_2020_411_Fig3_HTML,female,200,um
papillary layer of dermis,PMC7312397,41374_2020_411_Fig3_HTML,female,100,um
intestinal villus,PMC7312397,41374_2020_411_Fig3_HTML,female,200,um
intestinal villus,PMC7312397,41374_2020_411_Fig3_HTML,female,100,um
papillary layer of dermis,PMC7312397,41374_2020_411_Fig3_HTML,female,200,um
papillary layer of dermis,PMC7312397,41374_2020_411_Fig3_HTML,female,100,um
papillary layer of dermis,PMC7343761,418_2020_1861_Fig3_HTML,female,200,um
red pulp of spleen,PMC7343761,418_2020_1861_Fig3_HTML,female,100,um
papillary layer of dermis,PMC7343761,418_2020_1861_Fig3_HTML,female,20,um
papillary layer of dermis,PMC7343761,418_2020_1861_Fig3_HTML,female,100,um
white pulp of spleen,PMC7343761,418_2020_1861_Fig3_HTML,female,200,um
white pulp of spleen,PMC7343761,418_2020_1861_Fig3_HTML,female,20,um
white pulp of spleen,PMC7343761,418_2020_1861_Fig3_HTML,female,100,um
red pulp of spleen,PMC7343761,418_2020_1861_Fig3_HTML,female,200,um
red pulp of spleen,PMC7343761,418_2020_1861_Fig3_HTML,female,20,um
papillary layer of dermis,PMC7343761,418_2020_1861_Fig5_HTML,male,70,um
papillary layer of dermis,PMC7343761,418_2020_1861_Fig5_HTML,male,100,um
white pulp of spleen,PMC7343761,418_2020_1861_Fig5_HTML,male,70,um
white pulp of spleen,PMC7343761,418_2020_1861_Fig5_HTML,male,100,um
red pulp of spleen,PMC7343761,418_2020_1861_Fig5_HTML,male,70,um
red pulp of spleen,PMC7343761,418_2020_1861_Fig5_HTML,male,100,um
papillary layer of dermis,PMC7343761,418_2020_1861_Fig5_HTML,female,70,um
papillary layer of dermis,PMC7343761,418_2020_1861_Fig5_HTML,female,100,um
white pulp of spleen,PMC7343761,418_2020_1861_Fig5_HTML,female,70,um
white pulp of spleen,PMC7343761,418_2020_1861_Fig5_HTML,female,100,um
red pulp of spleen,PMC7343761,418_2020_1861_Fig5_HTML,female,70,um
red pulp of spleen,PMC7343761,418_2020_1861_Fig5_HTML,female,100,um
papillary layer of dermis,PMC7353583,jfb-11-00045-g004,male,500,um
papillary layer of dermis,PMC7353583,jfb-11-00045-g004,male,50,um
