ftu,pmcid,graphic,sex_tag,value,unit
nephron,PMC6293306,zh20071885760008,male,1,um
thick ascending limb of loop of Henle,PMC6293306,zh20071885760008,male,1,um
cortical collecting duct,PMC6293306,zh20071885760008,female,1,um
renal corpuscle,PMC6293306,zh20071885760008,female,1,um
outer medullary collecting duct,PMC6293306,zh20071885760008,female,1,um
nephron,PMC6293306,zh20071885760008,female,1,um
thick ascending limb of loop of Henle,PMC6293306,zh20071885760008,female,1,um
liver lobule,PMC6261392,SCI2018-7159465.005,male,50,um
liver lobule,PMC6261392,SCI2018-7159465.005,female,50,um
intestinal villus,PMC6250703,41467_2018_7119_Fig3_HTML,female,10,um
intestinal villus,PMC6250703,41467_2018_7119_Fig3_HTML,female,10,um
intestinal villus,PMC6250703,41467_2018_7119_Fig3_HTML,female,10,um
prostate glandular acinus,PMC6262441,cells-07-00206-g001,female,50,um
papillary layer of dermis,PMC6240266,12985_2018_1086_Fig4_HTML,female,100,um
white pulp of spleen,PMC6266202,marinedrugs-16-00450-g003,male,30,um
red pulp of spleen,PMC6266202,marinedrugs-16-00450-g003,male,30,um
white pulp of spleen,PMC6266202,marinedrugs-16-00450-g003,female,30,um
red pulp of spleen,PMC6266202,marinedrugs-16-00450-g003,female,30,um
cortical collecting duct,PMC6279434,cs-132-cs20180721-g1,male,30,um
cortical collecting duct,PMC6279434,cs-132-cs20180721-g1,male,20,um
descending limb of loop of Henle,PMC6279434,cs-132-cs20180721-g1,male,30,um
descending limb of loop of Henle,PMC6279434,cs-132-cs20180721-g1,male,20,um
thick ascending limb of loop of Henle,PMC6279434,cs-132-cs20180721-g1,male,30,um
thick ascending limb of loop of Henle,PMC6279434,cs-132-cs20180721-g1,male,20,um
nephron,PMC6279434,cs-132-cs20180721-g1,male,30,um
nephron,PMC6279434,cs-132-cs20180721-g1,male,20,um
cortical collecting duct,PMC6279434,cs-132-cs20180721-g1,female,30,um
cortical collecting duct,PMC6279434,cs-132-cs20180721-g1,female,20,um
descending limb of loop of Henle,PMC6279434,cs-132-cs20180721-g1,female,30,um
descending limb of loop of Henle,PMC6279434,cs-132-cs20180721-g1,female,20,um
thick ascending limb of loop of Henle,PMC6279434,cs-132-cs20180721-g1,female,30,um
thick ascending limb of loop of Henle,PMC6279434,cs-132-cs20180721-g1,female,20,um
nephron,PMC6279434,cs-132-cs20180721-g1,female,30,um
nephron,PMC6279434,cs-132-cs20180721-g1,female,20,um
papillary layer of dermis,PMC10105776,41598_2023_33282_Fig3_HTML,female,2,um
descending limb of loop of Henle,PMC10110607,41467_2023_37878_Fig4_HTML,male,100,um
thick ascending limb of loop of Henle,PMC10110607,41467_2023_37878_Fig4_HTML,male,100,um
descending limb of loop of Henle,PMC10110607,41467_2023_37878_Fig4_HTML,female,100,um
thick ascending limb of loop of Henle,PMC10110607,41467_2023_37878_Fig4_HTML,female,100,um
liver lobule,PMC10136159,biology-12-00562-g005,male,50,um
liver lobule,PMC10136159,biology-12-00562-g005,male,20,um
liver lobule,PMC10136159,biology-12-00562-g005,female,50,um
liver lobule,PMC10136159,biology-12-00562-g005,female,20,um
papillary layer of dermis,PMC10135664,biology-12-00516-g015,female,100,um
papillary layer of dermis,PMC10135664,biology-12-00516-g015,female,50,um
nephron,PMC10116870,fmed-10-1130112-g0002,female,50,um
nephron,PMC10116870,fmed-10-1130112-g0002,female,50,um
pancreatic acinus,PMC11188071,nihpp-2024.03.12.584316v1-f0003,male,50,um
pancreatic acinus,PMC11188071,nihpp-2024.03.12.584316v1-f0003,female,50,um
epidermal ridge of digit,PMC11193890,nihms-1995883-f0022,male,1,um
epidermal ridge of digit,PMC11193890,nihms-1995883-f0022,male,20,um
epidermal ridge of digit,PMC11193890,nihms-1995883-f0022,female,1,um
epidermal ridge of digit,PMC11193890,nihms-1995883-f0022,female,20,um
prostate glandular acinus,PMC11197183,12951_2024_2583_Fig3_HTML,female,100,um
prostate glandular acinus,PMC11197183,12951_2024_2583_Fig3_HTML,female,75,um
prostate glandular acinus,PMC11197183,12951_2024_2583_Fig3_HTML,female,50,um
prostate glandular acinus,PMC11197183,12951_2024_2583_Fig3_HTML,female,100,um
prostate glandular acinus,PMC11197183,12951_2024_2583_Fig3_HTML,female,75,um
prostate glandular acinus,PMC11197183,12951_2024_2583_Fig3_HTML,female,50,um
islet of Langerhans,PMC11178533,jci-134-173214-g135,male,50,um
nephron,PMC11178533,jci-134-173214-g135,male,50,um
bronchus submucosal gland,PMC11197063,rccm.202308-1370OCf4,male,10,um
bronchus submucosal gland,PMC11197063,rccm.202308-1370OCf4,male,10,um
bronchus submucosal gland,PMC11197063,rccm.202308-1370OCf4,male,10,um
bronchus submucosal gland,PMC11197063,rccm.202308-1370OCf4,female,10,um
epidermal ridge of digit,PMC11201216,animals-14-01740-g002,female,200,um
nephron,PMC11165510,ADVS-11-2400446-g004,female,5,um
nephron,PMC11165510,ADVS-11-2400446-g004,female,20,um
prostate glandular acinus,PMC11197183,12951_2024_2583_Fig1_HTML,female,50,um
prostate glandular acinus,PMC11197183,12951_2024_2583_Fig1_HTML,female,75,um
prostate glandular acinus,PMC11197183,12951_2024_2583_Fig1_HTML,female,50,um
prostate glandular acinus,PMC11197183,12951_2024_2583_Fig1_HTML,female,75,um
intestinal villus,PMC11175615,elife-89004-fig5,male,500,um
intestinal villus,PMC11175615,elife-89004-fig5,male,100,um
intestinal villus,PMC11175615,elife-89004-fig5,female,500,um
intestinal villus,PMC11175615,elife-89004-fig5,female,100,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,male,200,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,male,100,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,male,100,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,male,50,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,male,50,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,male,200,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,female,200,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,female,100,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,female,100,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,female,50,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,female,50,um
liver lobule,PMC11166647,43856_2024_544_Fig3_HTML,female,200,um
cortical collecting duct,PMC11186370,ijbsv20p3061g009,female,20,um
cortical collecting duct,PMC11186370,ijbsv20p3061g009,female,100,um
thick ascending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,20,um
thick ascending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,100,um
descending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,20,um
descending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,100,um
nephron,PMC11186370,ijbsv20p3061g009,female,20,um
nephron,PMC11186370,ijbsv20p3061g009,female,100,um
cortical collecting duct,PMC11186370,ijbsv20p3061g009,male,20,um
cortical collecting duct,PMC11186370,ijbsv20p3061g009,male,100,um
thick ascending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,male,20,um
thick ascending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,male,100,um
descending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,male,20,um
descending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,male,100,um
nephron,PMC11186370,ijbsv20p3061g009,male,20,um
nephron,PMC11186370,ijbsv20p3061g009,male,100,um
cortical collecting duct,PMC11186370,ijbsv20p3061g009,female,20,um
cortical collecting duct,PMC11186370,ijbsv20p3061g009,female,100,um
thick ascending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,20,um
thick ascending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,100,um
descending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,20,um
descending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,100,um
nephron,PMC11186370,ijbsv20p3061g009,female,20,um
nephron,PMC11186370,ijbsv20p3061g009,female,100,um
cortical collecting duct,PMC11186370,ijbsv20p3061g009,female,20,um
cortical collecting duct,PMC11186370,ijbsv20p3061g009,female,100,um
thick ascending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,20,um
thick ascending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,100,um
descending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,20,um
descending limb of loop of Henle,PMC11186370,ijbsv20p3061g009,female,100,um
nephron,PMC11186370,ijbsv20p3061g009,female,20,um
nephron,PMC11186370,ijbsv20p3061g009,female,100,um
intestinal villus,PMC6754153,pone.0222626.g012,female,1,um
nephron,PMC6754153,pone.0222626.g012,female,1,um
crypt of Lieberkuhn of large intestine,PMC6754153,pone.0222626.g012,female,1,um
crypt of Lieberkuhn of large intestine,PMC6764805,BTM2-4-na-g006,male,50,um
crypt of Lieberkuhn of large intestine,PMC6764805,BTM2-4-na-g006,male,0.5,um
intestinal villus,PMC6764959,41467_2019_12307_Fig7_HTML,female,500,um
intestinal villus,PMC6764959,41467_2019_12307_Fig7_HTML,female,250,um
intestinal villus,PMC6764959,41467_2019_12307_Fig7_HTML,female,250,um
papillary layer of dermis,PMC6764959,41467_2019_12307_Fig7_HTML,female,500,um
papillary layer of dermis,PMC6764959,41467_2019_12307_Fig7_HTML,female,250,um
papillary layer of dermis,PMC6764959,41467_2019_12307_Fig7_HTML,female,250,um
intestinal villus,PMC6754153,pone.0222626.g011,male,1,um
nephron,PMC6754153,pone.0222626.g011,male,1,um
crypt of Lieberkuhn of large intestine,PMC6754153,pone.0222626.g011,male,1,um
intestinal villus,PMC6754153,pone.0222626.g011,female,1,um
nephron,PMC6754153,pone.0222626.g011,female,1,um
crypt of Lieberkuhn of large intestine,PMC6754153,pone.0222626.g011,female,1,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig6_HTML,female,100,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig6_HTML,female,10,um
alveolus of lung,PMC4798756,pone.0149967.g008,female,100,um
white pulp of spleen,PMC4798756,pone.0149967.g008,female,100,um
red pulp of spleen,PMC4798756,pone.0149967.g008,female,100,um
papillary layer of dermis,PMC4800091,BMRI2016-7432131.003,male,50,um
papillary layer of dermis,PMC4800091,BMRI2016-7432131.003,male,50,um
nephron,PMC4718593,pone.0146302.g003,male,50,um
nephron,PMC4823981,biolopen-5-013847-g7,female,200,um
nephron,PMC4823981,biolopen-5-013847-g7,female,20,um
nephron,PMC4823981,biolopen-5-013847-g7,female,100,um
crypt of Lieberkuhn of large intestine,PMC4738267,srep20320-f4,male,50,um
crypt of Lieberkuhn of large intestine,PMC4738267,srep20320-f4,female,50,um
papillary layer of dermis,PMC4800091,BMRI2016-7432131.005,female,50,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig3_HTML,female,50,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig3_HTML,female,100,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig3_HTML,female,10,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig1_HTML,female,100,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig1_HTML,female,10,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig1_HTML,female,50,um
papillary layer of dermis,PMC4778328,13048_2016_221_Fig2_HTML,female,100,um
nephron,PMC4823981,biolopen-5-013847-g6,female,30,um
nephron,PMC4823981,biolopen-5-013847-g6,female,30,um
nephron,PMC4823981,biolopen-5-013847-g4,female,200,um
nephron,PMC4823981,biolopen-5-013847-g4,female,20,um
nephron,PMC4823981,biolopen-5-013847-g4,female,20,um
nephron,PMC4823981,biolopen-5-013847-g4,female,200,um
papillary layer of dermis,PMC4808019,oncotarget-07-0580-g006,female,50,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,female,5,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,female,40,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,female,20,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,female,100,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,female,100,um
