ftu,pmcid,graphic,sex_tag,value,unit
white pulp of spleen,PMC4798756,pone.0149967.g008,female,100,um
red pulp of spleen,PMC4798756,pone.0149967.g008,female,100,um
nephron,PMC4718593,pone.0146302.g003,male,50,um
nephron,PMC4823981,biolopen-5-013847-g7,female,200,um
nephron,PMC4823981,biolopen-5-013847-g7,female,20,um
nephron,PMC4823981,biolopen-5-013847-g7,female,100,um
nephron,PMC4823981,biolopen-5-013847-g6,female,30,um
nephron,PMC4823981,biolopen-5-013847-g6,female,30,um
nephron,PMC4823981,biolopen-5-013847-g4,female,200,um
nephron,PMC4823981,biolopen-5-013847-g4,female,20,um
nephron,PMC4823981,biolopen-5-013847-g4,female,20,um
nephron,PMC4823981,biolopen-5-013847-g4,female,200,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,female,5,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,female,40,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,female,20,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,female,100,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,female,100,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,female,10,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,male,5,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,male,40,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,male,20,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,male,100,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,male,100,um
prostate glandular acinus,PMC4729924,ncomms10055-f2,male,10,um
nephron,PMC4823981,biolopen-5-013847-g5,male,200,um
nephron,PMC4823981,biolopen-5-013847-g5,male,200,um
nephron,PMC4823981,biolopen-5-013847-g5,male,20,um
nephron,PMC4823981,biolopen-5-013847-g5,female,200,um
nephron,PMC4823981,biolopen-5-013847-g5,female,200,um
nephron,PMC4823981,biolopen-5-013847-g5,female,20,um
nephron,PMC4823981,biolopen-5-013847-g2,female,20,um
nephron,PMC4823981,biolopen-5-013847-g2,female,100,um
nephron,PMC4823981,biolopen-5-013847-g2,female,100,um
nephron,PMC4823981,biolopen-5-013847-g2,female,200,um
nephron,PMC4823981,biolopen-5-013847-g2,female,200,um
nephron,PMC4823981,biolopen-5-013847-g2,female,200,um
nephron,PMC4823981,biolopen-5-013847-g2,female,200,um
nephron,PMC4823981,biolopen-5-013847-g2,male,20,um
nephron,PMC4823981,biolopen-5-013847-g2,male,100,um
nephron,PMC4823981,biolopen-5-013847-g2,male,100,um
nephron,PMC4823981,biolopen-5-013847-g2,male,200,um
nephron,PMC4823981,biolopen-5-013847-g2,male,200,um
nephron,PMC4823981,biolopen-5-013847-g2,male,200,um
nephron,PMC4823981,biolopen-5-013847-g2,male,200,um
nephron,PMC4754950,srep21776-f6,male,50,um
nephron,PMC4754950,srep21776-f6,male,50,um
nephron,PMC4754950,srep21776-f6,male,50,um
nephron,PMC4754950,srep21776-f6,male,50,um
islet of Langerhans,PMC4788435,pgen.1005894.g004,male,10,um
nephron,PMC4788435,pgen.1005894.g004,male,10,um
inner medullary collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
inner medullary collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
inner medullary collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
inner medullary collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
nephron,PMC4788435,pgen.1005894.g004,male,10,um
nephron,PMC4788435,pgen.1005894.g004,male,10,um
nephron,PMC4788435,pgen.1005894.g004,male,10,um
islet of Langerhans,PMC4788435,pgen.1005894.g004,male,10,um
islet of Langerhans,PMC4788435,pgen.1005894.g004,male,10,um
islet of Langerhans,PMC4788435,pgen.1005894.g004,male,10,um
cortical collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
cortical collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
cortical collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
cortical collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
islet of Langerhans,PMC4788435,pgen.1005894.g004,male,10,um
nephron,PMC4788435,pgen.1005894.g004,male,10,um
inner medullary collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
inner medullary collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
inner medullary collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
inner medullary collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
nephron,PMC4788435,pgen.1005894.g004,male,10,um
nephron,PMC4788435,pgen.1005894.g004,male,10,um
nephron,PMC4788435,pgen.1005894.g004,male,10,um
islet of Langerhans,PMC4788435,pgen.1005894.g004,male,10,um
islet of Langerhans,PMC4788435,pgen.1005894.g004,male,10,um
islet of Langerhans,PMC4788435,pgen.1005894.g004,male,10,um
cortical collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
cortical collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
cortical collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
cortical collecting duct,PMC4788435,pgen.1005894.g004,male,10,um
intestinal villus,PMC7312397,41374_2020_411_Fig3_HTML,female,200,um
intestinal villus,PMC7312397,41374_2020_411_Fig3_HTML,female,100,um
papillary layer of dermis,PMC7312397,41374_2020_411_Fig3_HTML,female,200,um
papillary layer of dermis,PMC7312397,41374_2020_411_Fig3_HTML,female,100,um
intestinal villus,PMC7312397,41374_2020_411_Fig3_HTML,female,200,um
intestinal villus,PMC7312397,41374_2020_411_Fig3_HTML,female,100,um
papillary layer of dermis,PMC7312397,41374_2020_411_Fig3_HTML,female,200,um
papillary layer of dermis,PMC7312397,41374_2020_411_Fig3_HTML,female,100,um
papillary layer of dermis,PMC7353583,jfb-11-00045-g003,male,500,um
papillary layer of dermis,PMC7353583,jfb-11-00045-g003,male,50,um
epidermal ridge of digit,PMC7353583,jfb-11-00045-g003,male,500,um
epidermal ridge of digit,PMC7353583,jfb-11-00045-g003,male,50,um
papillary layer of dermis,PMC7353583,jfb-11-00045-g003,female,500,um
papillary layer of dermis,PMC7353583,jfb-11-00045-g003,female,50,um
epidermal ridge of digit,PMC7353583,jfb-11-00045-g003,female,500,um
epidermal ridge of digit,PMC7353583,jfb-11-00045-g003,female,50,um
papillary layer of dermis,PMC7353583,jfb-11-00045-g003,female,500,um
papillary layer of dermis,PMC7353583,jfb-11-00045-g003,female,50,um
epidermal ridge of digit,PMC7353583,jfb-11-00045-g003,female,500,um
epidermal ridge of digit,PMC7353583,jfb-11-00045-g003,female,50,um
papillary layer of dermis,PMC7343761,418_2020_1861_Fig8_HTML,female,200,um
papillary layer of dermis,PMC7343761,418_2020_1861_Fig8_HTML,female,100,um
white pulp of spleen,PMC7343761,418_2020_1861_Fig8_HTML,female,200,um
white pulp of spleen,PMC7343761,418_2020_1861_Fig8_HTML,female,100,um
red pulp of spleen,PMC7343761,418_2020_1861_Fig8_HTML,female,200,um
red pulp of spleen,PMC7343761,418_2020_1861_Fig8_HTML,female,100,um
papillary layer of dermis,PMC7343761,418_2020_1861_Fig8_HTML,male,200,um
papillary layer of dermis,PMC7343761,418_2020_1861_Fig8_HTML,male,100,um
white pulp of spleen,PMC7343761,418_2020_1861_Fig8_HTML,male,200,um
white pulp of spleen,PMC7343761,418_2020_1861_Fig8_HTML,male,100,um
red pulp of spleen,PMC7343761,418_2020_1861_Fig8_HTML,male,200,um
red pulp of spleen,PMC7343761,418_2020_1861_Fig8_HTML,male,100,um
papillary layer of dermis,PMC7353583,jfb-11-00045-g005,male,500,um
papillary layer of dermis,PMC7353583,jfb-11-00045-g005,male,50,um
epidermal ridge of digit,PMC7353583,jfb-11-00045-g005,male,500,um
epidermal ridge of digit,PMC7353583,jfb-11-00045-g005,male,50,um
papillary layer of dermis,PMC7353583,jfb-11-00045-g005,male,500,um
papillary layer of dermis,PMC7353583,jfb-11-00045-g005,male,50,um
epidermal ridge of digit,PMC7353583,jfb-11-00045-g005,male,500,um
epidermal ridge of digit,PMC7353583,jfb-11-00045-g005,male,50,um
papillary layer of dermis,PMC7353583,jfb-11-00045-g005,female,500,um
papillary layer of dermis,PMC7353583,jfb-11-00045-g005,female,50,um
epidermal ridge of digit,PMC7353583,jfb-11-00045-g005,female,500,um
epidermal ridge of digit,PMC7353583,jfb-11-00045-g005,female,50,um
papillary layer of dermis,PMC7343761,418_2020_1861_Fig1_HTML,female,200,um
white pulp of spleen,PMC7343761,418_2020_1861_Fig1_HTML,female,200,um
red pulp of spleen,PMC7343761,418_2020_1861_Fig1_HTML,female,200,um
nephron,PMC11549365,41419_2024_7200_Fig1_HTML,female,10,um
nephron,PMC11549365,41419_2024_7200_Fig1_HTML,female,10,um
nephron,PMC11549365,41419_2024_7200_Fig1_HTML,female,10,um
prostate glandular acinus,PMC11537416,pbio.3002820.g002,female,200,um
prostate glandular acinus,PMC11537416,pbio.3002820.g002,female,200,um
prostate glandular acinus,PMC11537416,pbio.3002820.g002,female,200,um
prostate glandular acinus,PMC11537416,pbio.3002820.g002,female,1000,um
nephron,PMC7764367,life-10-00336-g007,male,12.5,um
prostate glandular acinus,PMC7764367,life-10-00336-g007,male,12.5,um
papillary layer of dermis,PMC7764367,life-10-00336-g007,male,12.5,um
nephron,PMC7764367,life-10-00336-g007,male,12.5,um
prostate glandular acinus,PMC7764367,life-10-00336-g007,male,12.5,um
papillary layer of dermis,PMC7764367,life-10-00336-g007,male,12.5,um
nephron,PMC7764367,life-10-00336-g007,male,12.5,um
prostate glandular acinus,PMC7764367,life-10-00336-g007,male,12.5,um
papillary layer of dermis,PMC7764367,life-10-00336-g007,male,12.5,um
nephron,PMC7764367,life-10-00336-g007,male,12.5,um
prostate glandular acinus,PMC7764367,life-10-00336-g007,male,12.5,um
papillary layer of dermis,PMC7764367,life-10-00336-g007,male,12.5,um
red pulp of spleen,PMC7793747,fcell-08-593638-g007,female,100,um
red pulp of spleen,PMC7793747,fcell-08-593638-g002,female,20,um
red pulp of spleen,PMC7793747,fcell-08-593638-g002,female,100,um
islet of Langerhans,PMC7760711,nutrients-12-03652-g011,male,50,um
nephron,PMC7760711,nutrients-12-03652-g011,male,50,um
epidermal ridge of digit,PMC7760980,biomolecules-10-01607-g003,female,100,um
descending limb of loop of Henle,PMC7760980,biomolecules-10-01607-g003,female,100,um
papillary layer of dermis,PMC7760980,biomolecules-10-01607-g003,female,100,um
epidermal ridge of digit,PMC7760980,biomolecules-10-01607-g003,female,100,um
descending limb of loop of Henle,PMC7760980,biomolecules-10-01607-g003,female,100,um
papillary layer of dermis,PMC7760980,biomolecules-10-01607-g003,female,100,um
epidermal ridge of digit,PMC7760980,biomolecules-10-01607-g003,female,100,um
descending limb of loop of Henle,PMC7760980,biomolecules-10-01607-g003,female,100,um
papillary layer of dermis,PMC7760980,biomolecules-10-01607-g003,female,100,um
epidermal ridge of digit,PMC7760980,biomolecules-10-01607-g003,female,100,um
descending limb of loop of Henle,PMC7760980,biomolecules-10-01607-g003,female,100,um
papillary layer of dermis,PMC7760980,biomolecules-10-01607-g003,female,100,um
red pulp of spleen,PMC7793747,fcell-08-593638-g008,female,100,um
nephron,PMC9953854,cells-12-00614-g004,female,50,um
epidermal ridge of digit,PMC9953854,cells-12-00614-g004,female,50,um
descending limb of loop of Henle,PMC9953854,cells-12-00614-g004,female,50,um
thick ascending limb of loop of Henle,PMC9953854,cells-12-00614-g004,female,50,um
intestinal villus,PMC9952795,animals-13-00754-g004,female,100,um
crypt of Lieberkuhn of large intestine,PMC9373919,JFD-45-861-g003,female,20,um
crypt of Lieberkuhn of large intestine,PMC9373919,JFD-45-861-g003,female,20,um
crypt of Lieberkuhn of large intestine,PMC9373919,JFD-45-861-g003,female,20,um
intestinal villus,PMC9373919,JFD-45-861-g003,female,20,um
intestinal villus,PMC9373919,JFD-45-861-g003,female,20,um
intestinal villus,PMC9373919,JFD-45-861-g003,female,20,um
descending limb of loop of Henle,PMC9400903,ANIE-61-0-g002,male,10,um
descending limb of loop of Henle,PMC9400903,ANIE-61-0-g002,female,10,um
outer medullary collecting duct,PMC11249498,bsr-44-bsr20240768-g5,male,100,um
inner medullary collecting duct,PMC11249498,bsr-44-bsr20240768-g5,male,100,um
cortical collecting duct,PMC11249498,bsr-44-bsr20240768-g5,male,100,um
descending limb of loop of Henle,PMC11249498,bsr-44-bsr20240768-g5,male,100,um
thick ascending limb of loop of Henle,PMC11249498,bsr-44-bsr20240768-g5,male,100,um
nephron,PMC11249498,bsr-44-bsr20240768-g5,male,100,um
outer medullary collecting duct,PMC11249498,bsr-44-bsr20240768-g5,female,100,um
inner medullary collecting duct,PMC11249498,bsr-44-bsr20240768-g5,female,100,um
cortical collecting duct,PMC11249498,bsr-44-bsr20240768-g5,female,100,um
descending limb of loop of Henle,PMC11249498,bsr-44-bsr20240768-g5,female,100,um
thick ascending limb of loop of Henle,PMC11249498,bsr-44-bsr20240768-g5,female,100,um
nephron,PMC11249498,bsr-44-bsr20240768-g5,female,100,um
epidermal ridge of digit,PMC11240332,cells-13-01118-g009,female,20,um
epidermal ridge of digit,PMC11240332,cells-13-01118-g009,female,20,um
epidermal ridge of digit,PMC11240332,cells-13-01118-g009,female,20,um
epidermal ridge of digit,PMC11240332,cells-13-01118-g009,female,20,um
outer medullary collecting duct,PMC11249498,bsr-44-bsr20240768-g3,female,100,um
inner medullary collecting duct,PMC11249498,bsr-44-bsr20240768-g3,female,100,um
cortical collecting duct,PMC11249498,bsr-44-bsr20240768-g3,female,100,um
descending limb of loop of Henle,PMC11249498,bsr-44-bsr20240768-g3,female,100,um
thick ascending limb of loop of Henle,PMC11249498,bsr-44-bsr20240768-g3,female,100,um
nephron,PMC11249498,bsr-44-bsr20240768-g3,female,100,um
epidermal ridge of digit,PMC9318284,ijms-23-07663-g004,female,100,um
papillary layer of dermis,PMC9318284,ijms-23-07663-g004,female,100,um
liver lobule,PMC9303340,MRM-88-365-g003,male,50,um
liver lobule,PMC9303340,MRM-88-365-g003,male,50,um
liver lobule,PMC9303340,MRM-88-365-g003,male,50,um
liver lobule,PMC9303340,MRM-88-365-g003,male,50,um
liver lobule,PMC9303340,MRM-88-365-g003,male,50,um
liver lobule,PMC9303340,MRM-88-365-g003,male,50,um
liver lobule,PMC9303340,MRM-88-365-g003,male,50,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,male,10,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,male,10,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,male,10,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,male,10,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,female,100,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,female,100,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,female,100,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,female,100,um
nephron,PMC9300467,41586_2022_4918_Fig12_ESM,female,10,um
nephron,PMC9300467,41586_2022_4918_Fig8_ESM,female,100,um
nephron,PMC9300467,41586_2022_4918_Fig8_ESM,female,10,um
nephron,PMC9300467,41586_2022_4918_Fig8_ESM,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig8_ESM,male,10,um
nephron,PMC9300467,41586_2022_4918_Fig3_HTML,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig3_HTML,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig3_HTML,female,100,um
nephron,PMC9300467,41586_2022_4918_Fig3_HTML,female,100,um
nephron,PMC9300467,41586_2022_4918_Fig3_HTML,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig3_HTML,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig15_ESM,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig15_ESM,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig15_ESM,male,100,um
nephron,PMC9300467,41586_2022_4918_Fig15_ESM,male,100,um
pancreatic acinus,PMC3854770,scrt229-3,male,100,um
pancreatic acinus,PMC3854770,scrt229-3,female,100,um
nephron,PMC3873252,pone.0082881.g001,male,50,um
epidermal ridge of digit,PMC3901717,pone.0086978.g004,female,50,um
pancreatic acinus,PMC3874000,pone.0084295.g004,male,100,um
pancreatic acinus,PMC3874000,pone.0084295.g004,male,100,um
pancreatic acinus,PMC3874000,pone.0084295.g004,male,100,um
epidermal ridge of digit,PMC3898838,gr5,female,20,um
prostate glandular acinus,PMC3828374,pone.0079434.g001,male,100,um
prostate glandular acinus,PMC3828374,pone.0079434.g001,male,100,um
prostate glandular acinus,PMC3828374,pone.0079434.g001,male,100,um
prostate glandular acinus,PMC3828374,pone.0079434.g001,male,100,um
nephron,PMC7664435,ijms-21-08349-g008,female,5,um
nephron,PMC7664435,ijms-21-08349-g008,female,5,um
nephron,PMC7664435,ijms-21-08349-g008,female,2,um
nephron,PMC7664435,ijms-21-08349-g008,female,2,um
nephron,PMC7664435,ijms-21-08349-g008,female,100,um
nephron,PMC7664435,ijms-21-08349-g008,female,10,um
prostate glandular acinus,PMC7665231,oncotarget-11-4104-g001,female,75,um
prostate glandular acinus,PMC7665231,oncotarget-11-4104-g001,female,150,um
prostate glandular acinus,PMC7665231,oncotarget-11-4104-g001,female,75,um
prostate glandular acinus,PMC7665231,oncotarget-11-4104-g001,female,150,um
prostate glandular acinus,PMC7665231,oncotarget-11-4104-g001,female,75,um
prostate glandular acinus,PMC7665231,oncotarget-11-4104-g001,female,150,um
prostate glandular acinus,PMC7665231,oncotarget-11-4104-g001,female,75,um
prostate glandular acinus,PMC7665231,oncotarget-11-4104-g001,female,150,um
prostate glandular acinus,PMC7665231,oncotarget-11-4104-g001,female,75,um
prostate glandular acinus,PMC7665231,oncotarget-11-4104-g001,female,150,um
prostate glandular acinus,PMC7665231,oncotarget-11-4104-g001,female,75,um
prostate glandular acinus,PMC7665231,oncotarget-11-4104-g001,female,150,um
papillary layer of dermis,PMC10058564,life-13-00836-g002,male,50,um
papillary layer of dermis,PMC10058564,life-13-00836-g002,male,200,um
papillary layer of dermis,PMC10058564,life-13-00836-g002,male,100,um
papillary layer of dermis,PMC10058564,life-13-00836-g002,female,50,um
papillary layer of dermis,PMC10058564,life-13-00836-g002,female,200,um
papillary layer of dermis,PMC10058564,life-13-00836-g002,female,100,um
renal corpuscle,PMC10094651,ijerph-20-05253-g001,male,1,um
nephron,PMC10094651,ijerph-20-05253-g001,male,1,um
nephron,PMC10094651,ijerph-20-05253-g001,male,0.5,um
nephron,PMC10094651,ijerph-20-05253-g001,male,0.4,um
nephron,PMC10094651,ijerph-20-05253-g001,male,0.25,um
renal corpuscle,PMC10094651,ijerph-20-05253-g001,male,1,um
renal corpuscle,PMC10094651,ijerph-20-05253-g001,male,1,um
renal corpuscle,PMC10094651,ijerph-20-05253-g001,male,0.5,um
renal corpuscle,PMC10094651,ijerph-20-05253-g001,male,0.4,um
renal corpuscle,PMC10094651,ijerph-20-05253-g001,male,0.25,um
nephron,PMC10094651,ijerph-20-05253-g001,male,1,um
nephron,PMC10094651,ijerph-20-05253-g001,male,1,um
renal corpuscle,PMC10094651,ijerph-20-05253-g001,female,1,um
nephron,PMC10094651,ijerph-20-05253-g001,female,1,um
nephron,PMC10094651,ijerph-20-05253-g001,female,0.5,um
nephron,PMC10094651,ijerph-20-05253-g001,female,0.4,um
nephron,PMC10094651,ijerph-20-05253-g001,female,0.25,um
renal corpuscle,PMC10094651,ijerph-20-05253-g001,female,1,um
renal corpuscle,PMC10094651,ijerph-20-05253-g001,female,1,um
renal corpuscle,PMC10094651,ijerph-20-05253-g001,female,0.5,um
renal corpuscle,PMC10094651,ijerph-20-05253-g001,female,0.4,um
renal corpuscle,PMC10094651,ijerph-20-05253-g001,female,0.25,um
nephron,PMC10094651,ijerph-20-05253-g001,female,1,um
nephron,PMC10094651,ijerph-20-05253-g001,female,1,um
prostate glandular acinus,PMC11214834,pwad065_fig1,female,100,um
prostate glandular acinus,PMC11214834,pwad065_fig1,female,100,um
prostate glandular acinus,PMC11214834,pwad065_fig1,female,100,um
prostate glandular acinus,PMC11214834,pwad065_fig1,female,100,um
papillary layer of dermis,PMC11208142,41586_2024_7528_Fig6_ESM,male,1,um
papillary layer of dermis,PMC11208142,41586_2024_7528_Fig6_ESM,male,50,um
papillary layer of dermis,PMC11208142,41586_2024_7528_Fig6_ESM,male,5,um
papillary layer of dermis,PMC11208142,41586_2024_7528_Fig6_ESM,male,5,um
papillary layer of dermis,PMC11208142,41586_2024_7528_Fig6_ESM,male,100,um
papillary layer of dermis,PMC11208142,41586_2024_7528_Fig6_ESM,male,100,um
papillary layer of dermis,PMC11208142,41586_2024_7528_Fig6_ESM,male,10,um
papillary layer of dermis,PMC11208142,41586_2024_7528_Fig6_ESM,male,10,um
papillary layer of dermis,PMC11208142,41586_2024_7528_Fig6_ESM,male,1,um
papillary layer of dermis,PMC11208142,41586_2024_7528_Fig6_ESM,female,1,um
papillary layer of dermis,PMC11208142,41586_2024_7528_Fig6_ESM,female,50,um
papillary layer of dermis,PMC11208142,41586_2024_7528_Fig6_ESM,female,5,um
papillary layer of dermis,PMC11208142,41586_2024_7528_Fig6_ESM,female,5,um
papillary layer of dermis,PMC11208142,41586_2024_7528_Fig6_ESM,female,100,um
papillary layer of dermis,PMC11208142,41586_2024_7528_Fig6_ESM,female,100,um
papillary layer of dermis,PMC11208142,41586_2024_7528_Fig6_ESM,female,10,um
papillary layer of dermis,PMC11208142,41586_2024_7528_Fig6_ESM,female,10,um
papillary layer of dermis,PMC11208142,41586_2024_7528_Fig6_ESM,female,1,um
nephron,PMC4557973,pone.0137043.g005,male,50,um
intestinal villus,PMC4521792,pone.0134325.g004,male,2,um
nephron,PMC4549328,pgen.1005437.g004,female,50,um
epidermal ridge of digit,PMC5882949,41598_2018_23684_Fig1_HTML,male,2,um
epidermal ridge of digit,PMC5882949,41598_2018_23684_Fig1_HTML,male,10,um
epidermal ridge of digit,PMC5882949,41598_2018_23684_Fig1_HTML,female,2,um
epidermal ridge of digit,PMC5882949,41598_2018_23684_Fig1_HTML,female,10,um
nephron,PMC7401031,ioaa060f1,female,25,um
nephron,PMC7401031,ioaa060f1,female,25,um
pancreatic acinus,PMC11096477,ebm-249-10175-g003,male,50,um
pancreatic acinus,PMC11096477,ebm-249-10175-g003,female,50,um
nephron,PMC7461256,12610_2020_111_Fig3_HTML,male,50,um
nephron,PMC7461256,12610_2020_111_Fig3_HTML,male,25,um
prostate glandular acinus,PMC7461256,12610_2020_111_Fig3_HTML,male,50,um
prostate glandular acinus,PMC7461256,12610_2020_111_Fig3_HTML,male,25,um
nephron,PMC7461256,12610_2020_111_Fig2_HTML,male,50,um
prostate glandular acinus,PMC7461256,12610_2020_111_Fig2_HTML,male,50,um
prostate glandular acinus,PMC5686796,12610_2017_65_Fig1_HTML,male,100,um
prostate glandular acinus,PMC5686796,12610_2017_65_Fig1_HTML,female,100,um
liver lobule,PMC5670146,fncel-11-00343-g0005,female,40,um
papillary layer of dermis,PMC10228551,nihms-1899388-f0008,male,50,um
papillary layer of dermis,PMC10228551,nihms-1899388-f0008,male,50,um
papillary layer of dermis,PMC10228551,nihms-1899388-f0008,male,200,um
papillary layer of dermis,PMC10228551,nihms-1899388-f0008,male,200,um
papillary layer of dermis,PMC10228551,nihms-1899388-f0008,male,10,um
papillary layer of dermis,PMC10228551,nihms-1899388-f0008,male,10,um
nephron,PMC10216377,cells-12-01346-g002,female,1,um
white pulp of spleen,PMC11276530,foods-13-02283-g009,male,100,um
red pulp of spleen,PMC11276530,foods-13-02283-g009,male,100,um
white pulp of spleen,PMC11276530,foods-13-02283-g009,female,100,um
red pulp of spleen,PMC11276530,foods-13-02283-g009,female,100,um
papillary layer of dermis,PMC6401155,41598_2019_40042_Fig4_HTML,male,100,um
inner medullary collecting duct,PMC6395713,41598_2019_39430_Fig5_HTML,male,20,um
inner medullary collecting duct,PMC6395713,41598_2019_39430_Fig5_HTML,male,10,um
descending limb of loop of Henle,PMC6395713,41598_2019_39430_Fig5_HTML,male,20,um
descending limb of loop of Henle,PMC6395713,41598_2019_39430_Fig5_HTML,male,10,um
