"ftu","pmcid","graphic","value_new","standard_unit"
"white pulp of spleen","PMC6759523","fcell-07-00178-g001","50","um"
"white pulp of spleen","PMC6759523","fcell-07-00178-g001","25","um"
"white pulp of spleen","PMC6759523","fcell-07-00178-g001","50","um"
"red pulp of spleen","PMC6759523","fcell-07-00178-g001","50","um"
"red pulp of spleen","PMC6759523","fcell-07-00178-g001","25","um"
"red pulp of spleen","PMC6759523","fcell-07-00178-g001","50","um"
"nephron","PMC6760474","IJBMS-22-884-g004","50","um"
"red pulp of spleen","PMC6600367","ijms-20-02825-g004","1000","um"
"alveolus of lung","PMC6622164","peerj-07-7271-g004","100","um"
"white pulp of spleen","PMC6622164","peerj-07-7271-g004","100","um"
"nephron","PMC6635670","fendo-10-00309-g0003","7","um"
"red pulp of spleen","PMC6636780","pgen.1008266.g002","1",""
"red pulp of spleen","PMC6636780","pgen.1008266.g002","1","cm"
"red pulp of spleen","PMC6636780","pgen.1008266.g002","50",""
"red pulp of spleen","PMC6636780","pgen.1008266.g002","20",""
"red pulp of spleen","PMC6636780","pgen.1008266.g002","20",""
"red pulp of spleen","PMC6636780","pgen.1008266.g002","100",""
"red pulp of spleen","PMC6636780","pgen.1008266.g002","100",""
"red pulp of spleen","PMC6636780","pgen.1008266.g002","10",""
"white pulp of spleen","PMC6636780","pgen.1008266.g002","1",""
"white pulp of spleen","PMC6636780","pgen.1008266.g002","1","cm"
"white pulp of spleen","PMC6636780","pgen.1008266.g002","50",""
"white pulp of spleen","PMC6636780","pgen.1008266.g002","20",""
"white pulp of spleen","PMC6636780","pgen.1008266.g002","20",""
"white pulp of spleen","PMC6636780","pgen.1008266.g002","100",""
"white pulp of spleen","PMC6636780","pgen.1008266.g002","100",""
"white pulp of spleen","PMC6636780","pgen.1008266.g002","10",""
"intestinal villus","PMC6687107","pone.0220818.g006","50","um"
"intestinal villus","PMC6687107","pone.0220818.g006","25","um"
"intercalated duct of pancreas","PMC6687107","pone.0220818.g006","50","um"
"intercalated duct of pancreas","PMC6687107","pone.0220818.g006","25","um"
"crypt of Lieberkuhn of large intestine","PMC6687107","pone.0220818.g006","50","um"
"crypt of Lieberkuhn of large intestine","PMC6687107","pone.0220818.g006","25","um"
"pancreatic acinus","PMC6687107","pone.0220818.g006","50","um"
"pancreatic acinus","PMC6687107","pone.0220818.g006","25","um"
"nephron","PMC6584700","41467_2019_10584_Fig5_HTML","500","nm"
"nephron","PMC6584700","41467_2019_10584_Fig5_HTML","30","um"
"alveolus of lung","PMC6628730","toxins-11-00344-g004","50","um"
"alveolus of lung","PMC6628730","toxins-11-00344-g004","20","um"
"islet of Langerhans","PMC6628730","toxins-11-00344-g004","50","um"
"islet of Langerhans","PMC6628730","toxins-11-00344-g004","20","um"
"intestinal villus","PMC6628730","toxins-11-00344-g004","50","um"
"intestinal villus","PMC6628730","toxins-11-00344-g004","20","um"
"papillary layer of dermis","PMC6628730","toxins-11-00344-g004","50","um"
"papillary layer of dermis","PMC6628730","toxins-11-00344-g004","20","um"
"white pulp of spleen","PMC6628730","toxins-11-00344-g004","50","um"
"white pulp of spleen","PMC6628730","toxins-11-00344-g004","20","um"
"nephron","PMC6628730","toxins-11-00344-g004","50","um"
"nephron","PMC6628730","toxins-11-00344-g004","20","um"
"red pulp of spleen","PMC6628730","toxins-11-00344-g004","50","um"
"red pulp of spleen","PMC6628730","toxins-11-00344-g004","20","um"
"white pulp of spleen","PMC6637248","fbioe-07-00155-g0006","50","um"
"red pulp of spleen","PMC6637248","fbioe-07-00155-g0006","50","um"
"prostate glandular acinus","PMC6652161","ijrb-17-11-g003","100","um"
"nephron","PMC6664608","MCB.00024-19-f0007","10","um"
"nephron","PMC6664608","MCB.00024-19-f0007","10","um"
"epidermal ridge of digit","PMC6687281","pone.0220849.g003","100","um"
"nephron","PMC6783570","41598_2019_50772_Fig4_HTML","50","um"
"nephron","PMC6783570","41598_2019_50772_Fig4_HTML","20","um"
"nephron","PMC6783570","41598_2019_50772_Fig4_HTML","15","um"
"nephron","PMC6783570","41598_2019_50772_Fig4_HTML","15","um"
"nephron","PMC6783570","41598_2019_50772_Fig4_HTML","100","um"
"nephron","PMC6783570","41598_2019_50772_Fig4_HTML","50","um"
"papillary layer of dermis","PMC6560176","fmicb-10-01172-g003","10","um"
"intestinal villus","PMC6633599","develop-146-174961-g4","20","um"
"intestinal villus","PMC6633599","develop-146-174961-g4","20","um"
"intestinal villus","PMC6633599","develop-146-174961-g4","20","um"
"intestinal villus","PMC6633599","develop-146-174961-g4","20","um"
"intestinal villus","PMC6633599","develop-146-174961-g4","20","um"
"white pulp of spleen","PMC6680972","molecules-24-02595-g002","200","um"
"red pulp of spleen","PMC6680972","molecules-24-02595-g002","200","um"
"white pulp of spleen","PMC6688240","13287_2019_1364_Fig6_HTML","100","um"
"white pulp of spleen","PMC6688240","13287_2019_1364_Fig6_HTML","10","um"
"red pulp of spleen","PMC6688240","13287_2019_1364_Fig6_HTML","100","um"
"red pulp of spleen","PMC6688240","13287_2019_1364_Fig6_HTML","10","um"
"descending limb of loop of Henle","PMC6691102","fnana-13-00076-g008","25","um"
"descending limb of loop of Henle","PMC6691102","fnana-13-00076-g008","100","um"
"descending limb of loop of Henle","PMC6691102","fnana-13-00076-g008","10","um"
"nephron","PMC6691102","fnana-13-00076-g008","25","um"
"nephron","PMC6691102","fnana-13-00076-g008","100","um"
"nephron","PMC6691102","fnana-13-00076-g008","10","um"
"nephron","PMC6737913","joces-132-230177-g4","5","um"
"nephron","PMC6737913","joces-132-230177-g4","5","um"
"red pulp of spleen","PMC6757411","13287_2019_1394_Fig4_HTML","50","um"
"red pulp of spleen","PMC6757411","13287_2019_1394_Fig4_HTML","100","um"
"nephron","PMC6783570","41598_2019_50772_Fig1_HTML","30","um"
"nephron","PMC6783570","41598_2019_50772_Fig1_HTML","15","um"
"white pulp of spleen","PMC6563972","pone.0218081.g001","200","um"
"red pulp of spleen","PMC6563972","pone.0218081.g001","200","um"
"descending limb of loop of Henle","PMC6584357","gr4","20","um"
"descending limb of loop of Henle","PMC6584357","gr4","10","um"
"nephron","PMC6697732","41467_2019_11694_Fig1_HTML","5","um"
"nephron","PMC6697732","41467_2019_11694_Fig1_HTML","5","um"
"nephron","PMC6697732","41467_2019_11694_Fig1_HTML","5","um"
"nephron","PMC6697732","41467_2019_11694_Fig1_HTML","500","nm"
"liver lobule","PMC6738605","pone.0222234.g004","200","um"
"liver lobule","PMC6738605","pone.0222234.g004","200","um"
"liver lobule","PMC6738605","pone.0222234.g004","200","um"
"liver lobule","PMC6738605","pone.0222234.g004","200","um"
"thymus lobule","PMC6738605","pone.0222234.g004","200","um"
"thymus lobule","PMC6738605","pone.0222234.g004","200","um"
"thymus lobule","PMC6738605","pone.0222234.g004","200","um"
"thymus lobule","PMC6738605","pone.0222234.g004","200","um"
"nephron","PMC6760474","IJBMS-22-884-g003","50","um"
"papillary layer of dermis","PMC6554469","fonc-09-00429-g0006","50","um"
"inner medullary collecting duct","PMC6585700","CM-76-154-g004","20","um"
"inner medullary collecting duct","PMC6585700","CM-76-154-g004","1","um"
"cortical collecting duct","PMC6585700","CM-76-154-g004","20","um"
"cortical collecting duct","PMC6585700","CM-76-154-g004","1","um"
"descending limb of loop of Henle","PMC6585700","CM-76-154-g004","20","um"
"descending limb of loop of Henle","PMC6585700","CM-76-154-g004","1","um"
"thick ascending limb of loop of Henle","PMC6585700","CM-76-154-g004","20","um"
"thick ascending limb of loop of Henle","PMC6585700","CM-76-154-g004","1","um"
"nephron","PMC6585700","CM-76-154-g004","20","um"
"nephron","PMC6585700","CM-76-154-g004","1","um"
"intestinal villus","PMC6594755","elife-47178-fig7-figsupp2","4","um"
"islet of Langerhans","PMC6668837","pbio.3000382.g001","25","um"
"islet of Langerhans","PMC6668837","pbio.3000382.g001","25","um"
"islet of Langerhans","PMC6668837","pbio.3000382.g001","10","um"
"islet of Langerhans","PMC6668837","pbio.3000382.g001","10","um"
"islet of Langerhans","PMC6668837","pbio.3000382.g001","50","um"
"islet of Langerhans","PMC6668837","pbio.3000382.g001","50","um"
"islet of Langerhans","PMC6668837","pbio.3000382.g001","25","um"
"islet of Langerhans","PMC6668837","pbio.3000382.g001","25","um"
"nephron","PMC6668837","pbio.3000382.g001","25","um"
"nephron","PMC6668837","pbio.3000382.g001","25","um"
"nephron","PMC6668837","pbio.3000382.g001","10","um"
"nephron","PMC6668837","pbio.3000382.g001","10","um"
"nephron","PMC6668837","pbio.3000382.g001","50","um"
"nephron","PMC6668837","pbio.3000382.g001","50","um"
"nephron","PMC6668837","pbio.3000382.g001","25","um"
"nephron","PMC6668837","pbio.3000382.g001","25","um"
"pancreatic acinus","PMC6668837","pbio.3000382.g001","25","um"
"pancreatic acinus","PMC6668837","pbio.3000382.g001","25","um"
"pancreatic acinus","PMC6668837","pbio.3000382.g001","10","um"
"pancreatic acinus","PMC6668837","pbio.3000382.g001","10","um"
"pancreatic acinus","PMC6668837","pbio.3000382.g001","50","um"
"pancreatic acinus","PMC6668837","pbio.3000382.g001","50","um"
"pancreatic acinus","PMC6668837","pbio.3000382.g001","25","um"
"pancreatic acinus","PMC6668837","pbio.3000382.g001","25","um"
"intercalated duct of pancreas","PMC6668837","pbio.3000382.g001","25","um"
"intercalated duct of pancreas","PMC6668837","pbio.3000382.g001","25","um"
"intercalated duct of pancreas","PMC6668837","pbio.3000382.g001","10","um"
"intercalated duct of pancreas","PMC6668837","pbio.3000382.g001","10","um"
"intercalated duct of pancreas","PMC6668837","pbio.3000382.g001","50","um"
"intercalated duct of pancreas","PMC6668837","pbio.3000382.g001","50","um"
"intercalated duct of pancreas","PMC6668837","pbio.3000382.g001","25","um"
"intercalated duct of pancreas","PMC6668837","pbio.3000382.g001","25","um"
"bronchus submucosal gland","PMC6690641","gr6","50","um"
"cortical collecting duct","PMC6718710","fmed-06-00189-g0001","200","um"
"cortical collecting duct","PMC6718710","fmed-06-00189-g0001","2","mm"
"cortical collecting duct","PMC6718710","fmed-06-00189-g0001","1","mm"
"pancreatic acinus","PMC6769944","ijms-20-04545-g001","500","nm"
"nephron","PMC6587474","PATH-247-177-g003","50","um"
"epidermal ridge of digit","PMC6602158","pbio.3000326.g005","50","um"
"epidermal ridge of digit","PMC6642789","ECAM2019-5346518.003","100","um"
"islet of Langerhans","PMC6682994","nutrients-11-01509-g007","100","um"
"pancreatic acinus","PMC6682994","nutrients-11-01509-g007","100","um"
"white pulp of spleen","PMC6689115","41467_2019_11611_Fig1_HTML","40","um"
"white pulp of spleen","PMC6689115","41467_2019_11611_Fig1_HTML","40","um"
"white pulp of spleen","PMC6689115","41467_2019_11611_Fig1_HTML","100","um"
"white pulp of spleen","PMC6689115","41467_2019_11611_Fig1_HTML","10","um"
"white pulp of spleen","PMC6689115","41467_2019_11611_Fig1_HTML","40","um"
"white pulp of spleen","PMC6689115","41467_2019_11611_Fig1_HTML","40","um"
"epidermal ridge of digit","PMC6689115","41467_2019_11611_Fig1_HTML","40","um"
"epidermal ridge of digit","PMC6689115","41467_2019_11611_Fig1_HTML","40","um"
"epidermal ridge of digit","PMC6689115","41467_2019_11611_Fig1_HTML","100","um"
"epidermal ridge of digit","PMC6689115","41467_2019_11611_Fig1_HTML","10","um"
"epidermal ridge of digit","PMC6689115","41467_2019_11611_Fig1_HTML","40","um"
"epidermal ridge of digit","PMC6689115","41467_2019_11611_Fig1_HTML","40","um"
"red pulp of spleen","PMC6689115","41467_2019_11611_Fig1_HTML","40","um"
"red pulp of spleen","PMC6689115","41467_2019_11611_Fig1_HTML","40","um"
"red pulp of spleen","PMC6689115","41467_2019_11611_Fig1_HTML","100","um"
"red pulp of spleen","PMC6689115","41467_2019_11611_Fig1_HTML","10","um"
"red pulp of spleen","PMC6689115","41467_2019_11611_Fig1_HTML","40","um"
"red pulp of spleen","PMC6689115","41467_2019_11611_Fig1_HTML","40","um"
"inner medullary collecting duct","PMC6751383","fphys-10-01172-g012","50","um"
"cortical collecting duct","PMC6751383","fphys-10-01172-g012","50","um"
"renal corpuscle","PMC6751383","fphys-10-01172-g012","50","um"
"outer medullary collecting duct","PMC6751383","fphys-10-01172-g012","50","um"
"thick ascending limb of loop of Henle","PMC6751383","fphys-10-01172-g012","50","um"
"nephron","PMC6751383","fphys-10-01172-g012","50","um"
"descending limb of loop of Henle","PMC6751383","fphys-10-01172-g012","50","um"
"loop of Henle ascending limb thin segment","PMC6751383","fphys-10-01172-g012","50","um"
"intercalated duct of pancreas","PMC6588904","12876_2019_1009_Fig4_HTML","200","um"
"intercalated duct of pancreas","PMC6588904","12876_2019_1009_Fig4_HTML","20","um"
"crypt of Lieberkuhn of large intestine","PMC6588904","12876_2019_1009_Fig4_HTML","200","um"
"crypt of Lieberkuhn of large intestine","PMC6588904","12876_2019_1009_Fig4_HTML","20","um"
"epidermal ridge of digit","PMC6588904","12876_2019_1009_Fig4_HTML","200","um"
"epidermal ridge of digit","PMC6588904","12876_2019_1009_Fig4_HTML","20","um"
"intercalated duct of pancreas","PMC6588904","12876_2019_1009_Fig6_HTML","500","um"
"intercalated duct of pancreas","PMC6588904","12876_2019_1009_Fig6_HTML","50","um"
"intercalated duct of pancreas","PMC6588904","12876_2019_1009_Fig6_HTML","20","um"
"intercalated duct of pancreas","PMC6588904","12876_2019_1009_Fig6_HTML","100","um"
"crypt of Lieberkuhn of large intestine","PMC6588904","12876_2019_1009_Fig6_HTML","500","um"
"crypt of Lieberkuhn of large intestine","PMC6588904","12876_2019_1009_Fig6_HTML","50","um"
"crypt of Lieberkuhn of large intestine","PMC6588904","12876_2019_1009_Fig6_HTML","20","um"
"crypt of Lieberkuhn of large intestine","PMC6588904","12876_2019_1009_Fig6_HTML","100","um"
"epidermal ridge of digit","PMC6588904","12876_2019_1009_Fig6_HTML","500","um"
"epidermal ridge of digit","PMC6588904","12876_2019_1009_Fig6_HTML","50","um"
"epidermal ridge of digit","PMC6588904","12876_2019_1009_Fig6_HTML","20","um"
"epidermal ridge of digit","PMC6588904","12876_2019_1009_Fig6_HTML","100","um"
"nephron","PMC6667494","41467_2019_11321_Fig5_HTML","100","um"
"epidermal ridge of digit","PMC6678849","ijms-20-03600-g002","350","um"
"nephron","PMC6715892","gr1","50","um"
"nephron","PMC6724370","12906_2019_2650_Fig1_HTML","50","um"
"papillary layer of dermis","PMC6724370","12906_2019_2650_Fig1_HTML","50","um"
"intestinal villus","PMC6764989","41598_2019_50417_Fig7_HTML","100","um"
"red pulp of spleen","PMC6771254","thnov09p6587g003","200","um"
"red pulp of spleen","PMC6771254","thnov09p6587g003","1","mm"
"prostate glandular acinus","PMC6554467","41598_2019_44582_Fig2_HTML","5","mm"
"islet of Langerhans","PMC6566438","ijms-20-02458-g001","30","um"
"red pulp of spleen","PMC6566438","ijms-20-02458-g001","30","um"
"red pulp of spleen","PMC6597789","41598_2019_45740_Fig5_HTML","100","um"
"nephron","PMC6599136","pone.0218986.g004","28","um"
"nephron","PMC6599136","pone.0218986.g004","28","um"
"nephron","PMC6599136","pone.0218986.g004","28","um"
"descending limb of loop of Henle","PMC6701946","elife-47837-fig2","5","um"
"descending limb of loop of Henle","PMC6701946","elife-47837-fig2","5","um"
"descending limb of loop of Henle","PMC6701946","elife-47837-fig2","20","um"
"descending limb of loop of Henle","PMC6701946","elife-47837-fig2","20","um"
"nephron","PMC6715892","gr7","50","um"
"nephron","PMC6715892","gr7","100","um"
"crypt of Lieberkuhn of large intestine","PMC6562037","41598_2019_45012_Fig2_HTML","50","um"
"nephron","PMC6599136","pone.0218986.g012","25","um"
"intestinal villus","PMC6628191","ijms-20-02955-g002","200","um"
"nephron","PMC6628191","ijms-20-02955-g002","200","um"
"crypt of Lieberkuhn of large intestine","PMC6628191","ijms-20-02955-g002","200","um"
"nephron","PMC6642321","PHY2-7-e14172-g006","600","nm"
"nephron","PMC6642321","PHY2-7-e14172-g006","2","um"
"crypt of Lieberkuhn of large intestine","PMC6659645","41598_2019_47431_Fig2_HTML","600","um"
"descending limb of loop of Henle","PMC6691102","fnana-13-00076-g007","250","um"
"descending limb of loop of Henle","PMC6691102","fnana-13-00076-g007","25","um"
"descending limb of loop of Henle","PMC6691102","fnana-13-00076-g007","100","um"
"nephron","PMC6691102","fnana-13-00076-g007","250","um"
"nephron","PMC6691102","fnana-13-00076-g007","25","um"
"nephron","PMC6691102","fnana-13-00076-g007","100","um"
"liver lobule","PMC6753109","41598_2019_49412_Fig3_HTML","300","um"
"liver lobule","PMC6753109","41598_2019_49412_Fig3_HTML","20","um"
"liver lobule","PMC6753109","41598_2019_49412_Fig3_HTML","100","um"
"red pulp of spleen","PMC6582612","13287_2019_1272_Fig4_HTML","500","um"
"red pulp of spleen","PMC6582612","13287_2019_1272_Fig4_HTML","200","um"
"papillary layer of dermis","PMC6588697","41467_2019_10646_Fig3_HTML","100","um"
"epidermal ridge of digit","PMC6616333","41598_2019_46285_Fig4_HTML","20","um"
"intestinal villus","PMC6628191","ijms-20-02955-g004","200","um"
"nephron","PMC6628191","ijms-20-02955-g004","200","um"
"crypt of Lieberkuhn of large intestine","PMC6628191","ijms-20-02955-g004","200","um"
"prostate glandular acinus","PMC6651782","ijms-20-03144-g003","10","um"
"prostate glandular acinus","PMC6651782","ijms-20-03144-g003","10","um"
"nephron","PMC6706427","41598_2019_48438_Fig3_HTML","10","um"
"descending limb of loop of Henle","PMC6712079","fnins-13-00847-g011","50","um"
"descending limb of loop of Henle","PMC6712079","fnins-13-00847-g011","20","um"
"descending limb of loop of Henle","PMC6712079","fnins-13-00847-g011","100","um"
"crypt of Lieberkuhn of large intestine","PMC6719917","ijms-20-03901-g003","200","um"
"crypt of Lieberkuhn of large intestine","PMC6719917","ijms-20-03901-g003","200","um"
"crypt of Lieberkuhn of large intestine","PMC6719917","ijms-20-03901-g003","200","um"
"red pulp of spleen","PMC6582612","13287_2019_1272_Fig5_HTML","500","um"
"red pulp of spleen","PMC6582612","13287_2019_1272_Fig5_HTML","50","um"
"white pulp of spleen","PMC6627973","ijms-20-03019-g002","1","mm"
"red pulp of spleen","PMC6627973","ijms-20-03019-g002","1","mm"
"pancreatic acinus","PMC6627973","ijms-20-03019-g002","1","mm"
"epidermal ridge of digit","PMC6642789","ECAM2019-5346518.005","20","um"
"nephron","PMC6697732","41467_2019_11694_Fig4_HTML","5","um"
"nephron","PMC6697732","41467_2019_11694_Fig4_HTML","5","um"
"nephron","PMC6697732","41467_2019_11694_Fig4_HTML","2","um"
"nephron","PMC6697732","41467_2019_11694_Fig4_HTML","2","um"
"nephron","PMC6697732","41467_2019_11694_Fig4_HTML","2","um"
"nephron","PMC6697732","41467_2019_11694_Fig4_HTML","5","um"
"islet of Langerhans","PMC6708063","SCT3-8-935-g001","50","um"
"islet of Langerhans","PMC6708063","SCT3-8-935-g001","50","um"
"islet of Langerhans","PMC6708063","SCT3-8-935-g001","100","um"
"islet of Langerhans","PMC6708063","SCT3-8-935-g001","100","um"
"pancreatic acinus","PMC6708063","SCT3-8-935-g001","50","um"
"pancreatic acinus","PMC6708063","SCT3-8-935-g001","50","um"
"pancreatic acinus","PMC6708063","SCT3-8-935-g001","100","um"
"pancreatic acinus","PMC6708063","SCT3-8-935-g001","100","um"
"red pulp of spleen","PMC6720161","antioxidants-08-00310-g004","1","um"
"renal corpuscle","PMC6723450","nutrients-11-01929-g004","50","um"
"nephron","PMC6723450","nutrients-11-01929-g004","50","um"
"nephron","PMC6728983","40659_2019_257_Fig2_HTML","50","um"
"white pulp of spleen","PMC6732285","MGG3-7-e929-g010","500","um"
"red pulp of spleen","PMC6732285","MGG3-7-e929-g010","500","um"
"prostate glandular acinus","PMC6755960","41388_2018_509_Fig2_HTML","50","um"
"prostate glandular acinus","PMC6755960","41388_2018_509_Fig2_HTML","50","um"
"prostate glandular acinus","PMC6755960","41388_2018_509_Fig2_HTML","20","um"
"prostate glandular acinus","PMC6755960","41388_2018_509_Fig2_HTML","100","um"
"crypt of Lieberkuhn of large intestine","PMC6764805","BTM2-4-na-g003","50","um"
"crypt of Lieberkuhn of large intestine","PMC6764805","BTM2-4-na-g003","10","um"
"red pulp of spleen","PMC6579913","fphys-10-00633-g004","10","um"
"nephron","PMC6659696","41467_2019_10874_Fig7_HTML","10","um"
"white pulp of spleen","PMC6668467","41467_2019_11373_Fig6_HTML","250","nm"
"white pulp of spleen","PMC6668467","41467_2019_11373_Fig6_HTML","1","um"
"red pulp of spleen","PMC6668467","41467_2019_11373_Fig6_HTML","250","nm"
"red pulp of spleen","PMC6668467","41467_2019_11373_Fig6_HTML","1","um"
"intestinal villus","PMC6754153","pone.0222626.g006","20","um"
"intestinal villus","PMC6754153","pone.0222626.g006","20","um"
"intestinal villus","PMC6754153","pone.0222626.g006","20","um"
"intestinal villus","PMC6754153","pone.0222626.g006","10","um"
"nephron","PMC6754153","pone.0222626.g006","20","um"
"nephron","PMC6754153","pone.0222626.g006","20","um"
"nephron","PMC6754153","pone.0222626.g006","20","um"
"nephron","PMC6754153","pone.0222626.g006","10","um"
"crypt of Lieberkuhn of large intestine","PMC6754153","pone.0222626.g006","20","um"
"crypt of Lieberkuhn of large intestine","PMC6754153","pone.0222626.g006","20","um"
"crypt of Lieberkuhn of large intestine","PMC6754153","pone.0222626.g006","20","um"
"crypt of Lieberkuhn of large intestine","PMC6754153","pone.0222626.g006","10","um"
"inner medullary collecting duct","PMC6549029","EMBR-20-e47723-g006","4","um"
"cortical collecting duct","PMC6549029","EMBR-20-e47723-g006","4","um"
"red pulp of spleen","PMC6597789","41598_2019_45740_Fig2_HTML","50","um"
"epidermal ridge of digit","PMC6639004","pone.0219780.g003","100","um"
"epidermal ridge of digit","PMC6639004","pone.0219780.g003","100","um"
"nephron","PMC6668426","41598_2019_47414_Fig6_HTML","500","um"
"nephron","PMC6668426","41598_2019_47414_Fig6_HTML","20","um"
"nephron","PMC6668426","41598_2019_47414_Fig6_HTML","20","um"
"descending limb of loop of Henle","PMC6685329","ehz305f1","50",""
"descending limb of loop of Henle","PMC6685329","ehz305f1","100","um"
"descending limb of loop of Henle","PMC6694654","13018_2019_1299_Fig2_HTML","20","um"
"descending limb of loop of Henle","PMC6694654","13018_2019_1299_Fig4_HTML","20","um"
"liver lobule","PMC6701280","MI2019-6175091.001","100","um"
"intestinal villus","PMC6713323","pone.0220843.g002","50","um"
"intestinal villus","PMC6713323","pone.0220843.g002","100","um"
"crypt of Lieberkuhn of large intestine","PMC6713323","pone.0220843.g002","50","um"
"crypt of Lieberkuhn of large intestine","PMC6713323","pone.0220843.g002","100","um"
"cortical collecting duct","PMC6718710","fmed-06-00189-g0002","60","um"
"cortical collecting duct","PMC6718710","fmed-06-00189-g0002","2","mm"
"cortical collecting duct","PMC6718710","fmed-06-00189-g0002","1","mm"
"intestinal villus","PMC6760522","41598_2019_50023_Fig4_HTML","50","um"
"crypt of Lieberkuhn of large intestine","PMC6760522","41598_2019_50023_Fig4_HTML","50","um"
"white pulp of spleen","PMC6598286","12944_2019_1088_Fig4_HTML","50","um"
"white pulp of spleen","PMC6598286","12944_2019_1088_Fig4_HTML","100","um"
"red pulp of spleen","PMC6598286","12944_2019_1088_Fig4_HTML","50","um"
"red pulp of spleen","PMC6598286","12944_2019_1088_Fig4_HTML","100","um"
"intestinal villus","PMC6610666","41467_2019_10901_Fig1_HTML","400","um"
"red pulp of spleen","PMC6675537","ad-10-4-793-g1","100","um"
"descending limb of loop of Henle","PMC6694654","13018_2019_1299_Fig3_HTML","20","um"
"crypt of Lieberkuhn of large intestine","PMC6739486","gr5","50","um"
"crypt of Lieberkuhn of large intestine","PMC6739486","gr5","50","um"
"crypt of Lieberkuhn of large intestine","PMC6739486","gr5","50","um"
"crypt of Lieberkuhn of large intestine","PMC6739486","gr5","50","um"
"crypt of Lieberkuhn of large intestine","PMC6739486","gr5","25","um"
"liver lobule","PMC6749516","molecules-24-03114-g001","10","um"
"crypt of Lieberkuhn of large intestine","PMC6764805","BTM2-4-na-g009","50","um"
