Uberon ID,Preferred label,Synonyms,Definition,Source ontology,,,,,,,,,,,,,,,,,,,,,
UBERON:0004205,inner medullary collecting duct,papillary collecting duct,The inner medullary collecting duct is the portion of the collecting duct that lies in the renal inner medulla.,https://data.bioontology.org/ontologies/GO-PLUS,,,,,,,,,,,,,,,,,,,,,
UBERON:0004205,inner medullary collecting duct,papillary collecting duct,The inner medullary collecting duct is the portion of the collecting duct that lies in the renal inner medulla.,https://data.bioontology.org/ontologies/CL,,,,,,,,,,,,,,,,,,,,,
UBERON:0004204,outer medullary collecting duct,"outer renal medulla collecting duct, kidney outer medulla collecting duct",The outer medullary collecting duct is the portion of the collecting duct that lies in the renal outer medulla.,https://data.bioontology.org/ontologies/UBERON,,,,,,,,,,,,,,,,,,,,,
UBERON:0004204,UBERON_0004204,,N/A,https://data.bioontology.org/ontologies/BERO,,,,,,,,,,,,,,,,,,,,,
UBERON:0004204,outer medullary collecting duct,"outer renal medulla collecting duct, kidney outer medulla collecting duct",The outer medullary collecting duct is the portion of the collecting duct that lies in the renal outer medulla.,https://data.bioontology.org/ontologies/NIFSTD,,,,,,,,,,,,,,,,,,,,,
UBERON:0004204,outer medullary collecting duct,,The outer medullary collecting duct is the portion of the collecting duct that lies in the renal outer medulla,https://data.bioontology.org/ontologies/FNS-H,,,,,,,,,,,,,,,,,,,,,
UBERON:0004204,outer medullary collecting duct,"outer renal medulla collecting duct, kidney outer medulla collecting duct",The outer medullary collecting duct is the portion of the collecting duct that lies in the renal outer medulla.,https://data.bioontology.org/ontologies/KTAO,,,,,,,,,,,,,,,,,,,,,
UBERON:0004204,Collecting Duct (Medulla),"outer renal medulla collecting duct, kidney outer medulla collecting duct",The outer medullary collecting duct is the portion of the collecting duct that lies in the renal outer medulla.,https://data.bioontology.org/ontologies/HRA,,,,,,,,,,,,,,,,,,,,,
UBERON:0004204,outer medullary collecting duct,,N/A,https://data.bioontology.org/ontologies/UPHENO,,,,,,,,,,,,,,,,,,,,,
UBERON:0004204,outer medullary collecting duct,,N/A,https://data.bioontology.org/ontologies/OBA,,,,,,,,,,,,,,,,,,,,,
UBERON:0004204,outer medullary collecting duct,"outer renal medulla collecting duct, kidney outer medulla collecting duct",The outer medullary collecting duct is the portion of the collecting duct that lies in the renal outer medulla.,https://data.bioontology.org/ontologies/GO-PLUS,,,,,,,,,,,,,,,,,,,,,
UBERON:0004204,outer medullary collecting duct,"outer renal medulla collecting duct, kidney outer medulla collecting duct",The outer medullary collecting duct is the portion of the collecting duct that lies in the renal outer medulla.,https://data.bioontology.org/ontologies/CL,,,,,,,,,,,,,,,,,,,,,
UBERON:0001229,renal corpuscle,"cortical renal corpuscle, kidney corpuscle, corpusculum renis",The structure containing the glomerular capsule and the glomerulus that serves as the initial blood-filtering component of a nephron.,https://data.bioontology.org/ontologies/UBERON,,,,,,,,,,,,,,,,,,,,,
UBERON:0001229,renal corpuscle,"corpusculum renis, cortical renal corpuscle, malphighian corpuscle, kidney corpuscle, corpusculum renale, malphigian corpuscle, Malpighian corpuscle",the structure containing the glomerular capsule and the glomerulus that serves as the initial blood-filtering component of a nephron,https://data.bioontology.org/ontologies/OAE,,,,,,,,,,,,,,,,,,,,,
UBERON:0001229,renal corpuscle,"kidney corpuscle, cortical renal corpuscle, corpusculum renis",The structure containing the glomerular capsule and the glomerulus that serves as the initial blood-filtering component of a nephron.,https://data.bioontology.org/ontologies/MAXO,,,,,,,,,,,,,,,,,,,,,
UBERON:0001229,renal corpuscle,"cortical renal corpuscle, kidney corpuscle, corpusculum renis, Malphigian corpuscle, Malpighian corpuscle, corpusculum renale",The structure containing the glomerular capsule and the glomerulus that serves as the initial blood-filtering component of a nephron.,https://data.bioontology.org/ontologies/NIFSTD,,,,,,,,,,,,,,,,,,,,,
UBERON:0001229,renal corpuscle,,the structure containing the glomerular capsule and the glomerulus that serves as the initial blood-filtering component of a nephron,https://data.bioontology.org/ontologies/FNS-H,,,,,,,,,,,,,,,,,,,,,
UBERON:0001229,renal corpuscle,"cortical renal corpuscle, kidney corpuscle, corpusculum renis, Malphigian corpuscle, Malpighian corpuscle, corpusculum renale",The structure containing the glomerular capsule and the glomerulus that serves as the initial blood-filtering component of a nephron.,https://data.bioontology.org/ontologies/KTAO,,,,,,,,,,,,,,,,,,,,,
UBERON:0001229,Renal Corpuscle,"corpusculum renis, cortical renal corpuscle, kidney corpuscle, corpusculum renale, Malphigian corpuscle, Malpighian corpuscle",The structure containing the glomerular capsule and the glomerulus that serves as the initial blood-filtering component of a nephron.,https://data.bioontology.org/ontologies/HRA,,,,,,,,,,,,,,,,,,,,,
UBERON:0001229,renal corpuscle,"cortical renal corpuscle, kidney corpuscle, corpusculum renis, Malphigian corpuscle, Malpighian corpuscle, corpusculum renale",The structure containing the glomerular capsule and the glomerulus that serves as the initial blood-filtering component of a nephron.,https://data.bioontology.org/ontologies/CLO,,,,,,,,,,,,,,,,,,,,,
UBERON:0001229,renal corpuscle,,N/A,https://data.bioontology.org/ontologies/UPHENO,,,,,,,,,,,,,,,,,,,,,
UBERON:0001229,renal corpuscle,,"Together, the Bowmans capsule and the glomerulus comprise the definitive renal corpuscle. http://www.gudmap.org/About/Tutorial/DevMUS.html#DMK_Nephron",https://data.bioontology.org/ontologies/OBA,,,,,,,,,,,,,,,,,,,,,
UBERON:0001229,renal corpuscle,"cortical renal corpuscle, kidney corpuscle, corpusculum renis",The structure containing the glomerular capsule and the glomerulus that serves as the initial blood-filtering component of a nephron.,https://data.bioontology.org/ontologies/GO-PLUS,,,,,,,,,,,,,,,,,,,,,
UBERON:0001229,renal corpuscle,"kidney corpuscle, cortical renal corpuscle, corpusculum renis, corpusculum renale, Malpighian corpuscle, Malphigian corpuscle",N/A,https://data.bioontology.org/ontologies/NPOKB,,,,,,,,,,,,,,,,,,,,,
UBERON:0001229,renal corpuscle,"kidney corpuscle, cortical renal corpuscle, corpusculum renis",The structure containing the glomerular capsule and the glomerulus that serves as the initial blood-filtering component of a nephron.,https://data.bioontology.org/ontologies/CL,,,,,,,,,,,,,,,,,,,,,
UBERON:0001291,thick ascending limb of loop of Henle,tubulus rectus distalis,The distal sub-portion of the ascending loop of Henle which is lined by simple cuboidal epithelium and enters the renal cortex to empty a hypotonic filtrate into the distal convoluted tubule.,https://data.bioontology.org/ontologies/UBERON,,,,,,,,,,,,,,,,,,,,,
UBERON:0001291,UBERON_0001291,,N/A,https://data.bioontology.org/ontologies/BERO,,,,,,,,,,,,,,,,,,,,,
UBERON:0001291,thick ascending limb of loop of Henle,"tubulus rectus distalis, ascending thick limb, thick ascending limb of distal tubule, distal straight tubule, thick ascending limb, straight portion of distal convoluted tubule, loop of Henle ascending limb thick segment, straight portion of distal convoluted renal tubule, thick ascending limb of Henle's loop",The distal sub-portion of the ascending loop of Henle which is lined by simple cuboidal epithelium and enters the renal cortex to empty a hypotonic filtrate into the distal convoluted tubule.,https://data.bioontology.org/ontologies/NIFSTD,,,,,,,,,,,,,,,,,,,,,
UBERON:0001291,thick ascending limb of loop of Henle,,the distal sub-portion of the ascending loop of Henle which is lined by simple cuboidal epithelium and enters the renal cortex to empty a hypotonic filtrate into the distal convoluted tubule,https://data.bioontology.org/ontologies/FNS-H,,,,,,,,,,,,,,,,,,,,,
UBERON:0001291,N/A,"tubulus rectus distalis, ascending thick limb, thick ascending limb of distal tubule, distal straight tubule, thick ascending limb, straight portion of distal convoluted tubule, loop of Henle ascending limb thick segment, straight portion of distal convoluted renal tubule, thick ascending limb of Henle's loop",The distal sub-portion of the ascending loop of Henle which is lined by simple cuboidal epithelium and enters the renal cortex to empty a hypotonic filtrate into the distal convoluted tubule.,https://data.bioontology.org/ontologies/HSPO,,,,,,,,,,,,,,,,,,,,,
UBERON:0001291,thick ascending limb of loop of Henle,"tubulus rectus distalis, ascending thick limb, thick ascending limb of distal tubule, distal straight tubule, thick ascending limb, straight portion of distal convoluted tubule, loop of Henle ascending limb thick segment, straight portion of distal convoluted renal tubule, thick ascending limb of Henle's loop",The distal sub-portion of the ascending loop of Henle which is lined by simple cuboidal epithelium and enters the renal cortex to empty a hypotonic filtrate into the distal convoluted tubule.,https://data.bioontology.org/ontologies/KTAO,,,,,,,,,,,,,,,,,,,,,
UBERON:0001291,Loop of Henle (Thick Limb/ Cortex),"tubulus rectus distalis, straight portion of distal convoluted tubule, thick ascending limb of Henle's loop, thick ascending limb, thick ascending limb of distal tubule, ascending thick limb, straight portion of distal convoluted renal tubule, loop of Henle ascending limb thick segment, distal straight tubule",The distal sub-portion of the ascending loop of Henle which is lined by simple cuboidal epithelium and enters the renal cortex to empty a hypotonic filtrate into the distal convoluted tubule.,https://data.bioontology.org/ontologies/HRA,,,,,,,,,,,,,,,,,,,,,
UBERON:0001291,thick ascending limb of loop of Henle,tubulus rectus distalis,The distal sub-portion of the ascending loop of Henle which is lined by simple cuboidal epithelium and enters the renal cortex to empty a hypotonic filtrate into the distal convoluted tubule.,https://data.bioontology.org/ontologies/EFO,,,,,,,,,,,,,,,,,,,,,
UBERON:0001291,thick ascending limb of loop of Henle,tubulus rectus distalis,The distal sub-portion of the ascending loop of Henle which is lined by simple cuboidal epithelium and enters the renal cortex to empty a hypotonic filtrate into the distal convoluted tubule.,https://data.bioontology.org/ontologies/GO-PLUS,,,,,,,,,,,,,,,,,,,,,
UBERON:0001291,thick ascending limb of loop of Henle,tubulus rectus distalis,The distal sub-portion of the ascending loop of Henle which is lined by simple cuboidal epithelium and enters the renal cortex to empty a hypotonic filtrate into the distal convoluted tubule.,https://data.bioontology.org/ontologies/CCONT,,,,,,,,,,,,,,,,,,,,,
UBERON:0001291,thick ascending limb of loop of Henle,"ascending thick limb, thick ascending limb, straight portion of distal convoluted renal tubule, thick ascending limb of Henle's loop",N/A,https://data.bioontology.org/ontologies/UPHENO,,,,,,,,,,,,,,,,,,,,,
UBERON:0001291,thick ascending limb of loop of Henle,tubulus rectus distalis,The distal sub-portion of the ascending loop of Henle which is lined by simple cuboidal epithelium and enters the renal cortex to empty a hypotonic filtrate into the distal convoluted tubule.,https://data.bioontology.org/ontologies/CL,,,,,,,,,,,,,,,,,,,,,
UBERON:0001291,thick ascending limb of loop of Henle,,N/A,https://data.bioontology.org/ontologies/OBA,,,,,,,,,,,,,,,,,,,,,
UBERON:0001984,crypt of Lieberkuhn of large intestine,"large intestine intestinal gland, Lieberkühn crypt of large intestine, large intestine Lieberkühn crypt, large intestinal crypt of Lieberkuhn, intestinal gland of large intestine, large intestine crypt of Lieberkuhn",A crypt of Lieberkühn that is part of a large intestine [Automatically generated definition].,https://data.bioontology.org/ontologies/UBERON,,,,,,,,,,,,,,,,,,,,,
UBERON:0001984,crypt of Lieberkuhn of large intestine,"large intestine intestinal gland, Lieberkühn crypt of large intestine, large intestine Lieberkühn crypt, large intestinal crypt of Lieberkuhn, intestinal gland of large intestine, large intestine crypt of Lieberkuhn",A crypt of Lieberkühn that is part of a large intestine [Automatically generated definition].,https://data.bioontology.org/ontologies/NIFSTD,,,,,,,,,,,,,,,,,,,,,
UBERON:0001984,crypt of Lieberkuhn of large intestine,,A crypt of lieberkuhn that is part of a large intestine [Automatically generated definition].,https://data.bioontology.org/ontologies/FNS-H,,,,,,,,,,,,,,,,,,,,,
UBERON:0001984,crypt of Lieberkuhn of large intestine,"intestinal gland of large intestine, large intestinal crypt of Lieberkuhn, large intestine intestinal gland, Lieberkühn crypt of large intestine, large intestine crypt of Lieberkuhn, large intestine Lieberkühn crypt",A crypt of Lieberkühn that is part of a large intestine [Automatically generated definition].,https://data.bioontology.org/ontologies/HRA,,,,,,,,,,,,,,,,,,,,,
UBERON:0001984,crypt of Lieberkuhn of large intestine,"large intestinal crypt of Lieberkuhn, large intestine crypt of Lieberkuhn",N/A,https://data.bioontology.org/ontologies/UPHENO,,,,,,,,,,,,,,,,,,,,,
UBERON:0001984,crypt of Lieberkuhn of large intestine,,N/A,https://data.bioontology.org/ontologies/OBA,,,,,,,,,,,,,,,,,,,,,
UBERON:0001984,crypt of Lieberkuhn of large intestine,"large intestine intestinal gland, Lieberkühn crypt of large intestine, large intestine Lieberkühn crypt, large intestinal crypt of Lieberkuhn, intestinal gland of large intestine, large intestine crypt of Lieberkuhn",A crypt of Lieberkühn that is part of a large intestine [Automatically generated definition].,https://data.bioontology.org/ontologies/HHEAR,,,,,,,,,,,,,,,,,,,,,
UBERON:0001984,crypt of Lieberkuhn of large intestine,"large intestine intestinal gland, large intestine crypt of Lieberkuhn, large intestine Lieberkühn crypt, large intestinal crypt of Lieberkuhn, intestinal gland of large intestine, Lieberkühn crypt of large intestine",A crypt of Lieberkühn that is part of a large intestine [Automatically generated definition].,https://data.bioontology.org/ontologies/CL,,,,,,,,,,,,,,,,,,,,,
UBERON:0004647,liver lobule,"lobules of liver, lobuli hepatis",The polygonal structure of the liver that consists of hepatocytes radiating outward from a hepatic vein.,https://data.bioontology.org/ontologies/UBERON,,,,,,,,,,,,,,,,,,,,,
UBERON:0004647,liver lobule,"lobuli hepatis, lobules of liver, lobulus hepaticus, lobuli hepatici, hepatic lobule",The polygonal structure of the liver that consists of hepatocytes radiating outward from a hepatic vein.,https://data.bioontology.org/ontologies/NMDCO,,,,,,,,,,,,,,,,,,,,,
UBERON:0004647,liver lobule,"lobuli hepatis, lobules of liver, lobuli hepatici, hepatic lobule, lobulus hepaticus",the polygonal structure of the liver that consists of hepatocytes radiating outward from a hepatic vein,https://data.bioontology.org/ontologies/ODAE,,,,,,,,,,,,,,,,,,,,,
UBERON:0004647,liver lobule,"lobules of liver, lobuli hepatis, hepatic lobule, lobuli hepatici, lobulus hepaticus",The polygonal structure of the liver that consists of hepatocytes radiating outward from a hepatic vein.,https://data.bioontology.org/ontologies/AISM,,,,,,,,,,,,,,,,,,,,,
UBERON:0004647,liver lobule,"lobuli hepatis, lobules of liver, lobuli hepatici, hepatic lobule, lobulus hepaticus",the polygonal structure of the liver that consists of hepatocytes radiating outward from a hepatic vein,https://data.bioontology.org/ontologies/OAE,,,,,,,,,,,,,,,,,,,,,
UBERON:0004647,liver lobule,"lobules of liver, lobuli hepatis",The polygonal structure of the liver that consists of hepatocytes radiating outward from a hepatic vein.,https://data.bioontology.org/ontologies/PCL,,,,,,,,,,,,,,,,,,,,,
UBERON:0004647,liver lobule,"lobuli hepatis, lobules of liver",The polygonal structure of the liver that consists of hepatocytes radiating outward from a hepatic vein.,https://data.bioontology.org/ontologies/MAXO,,,,,,,,,,,,,,,,,,,,,
UBERON:0004647,liver lobule,"lobuli hepatis, lobules of liver",The polygonal structure of the liver that consists of hepatocytes radiating outward from a hepatic vein.,https://data.bioontology.org/ontologies/ECAO,,,,,,,,,,,,,,,,,,,,,
UBERON:0004647,liver lobule,"lobules of liver, lobuli hepatis, hepatic lobule, lobuli hepatici, lobulus hepaticus",The polygonal structure of the liver that consists of hepatocytes radiating outward from a hepatic vein.,https://data.bioontology.org/ontologies/NIFSTD,,,,,,,,,,,,,,,,,,,,,
